run,tick,symbol_family,action,outcome_event,reward,event_reward,close_reward,entry_price,tp_price,sl_price,exit_price,bars_held,source_file
160,17,dio_1jo7,WAIT,NO_TRADE,0.0,0.0,0.0,99.64000000,99.64000000,99.64000000,99.64000000,0,debug\dio_mini_12n_transfer_probe16\dio_mini_lauf_160\episodes.csv
160,18,dio_1w4m,WAIT,NO_TRADE,0.0,0.0,0.0,99.32000000,99.32000000,99.32000000,99.32000000,0,debug\dio_mini_12n_transfer_probe16\dio_mini_lauf_160\episodes.csv
161,1,dio_0cgn,SHORT,TP,1.0,1.0,1.588693,102.15000000,101.86000000,102.44000000,101.86000000,1,debug\dio_mini_12n_transfer_probe16\dio_mini_lauf_161\episodes.csv
161,6,dio_1qig,WAIT,NO_TRADE,0.0,0.0,0.0,100.08000000,100.08000000,100.08000000,100.08000000,0,debug\dio_mini_12n_transfer_probe16\dio_mini_lauf_161\episodes.csv
161,7,dio_0vc8,WAIT,NO_TRADE,0.0,0.0,0.0,100.30000000,100.30000000,100.30000000,100.30000000,0,debug\dio_mini_12n_transfer_probe16\dio_mini_lauf_161\episodes.csv
161,8,dio_1g7l,WAIT,NO_TRADE,0.0,0.0,0.0,100.58000000,100.58000000,100.58000000,100.58000000,0,debug\dio_mini_12n_transfer_probe16\dio_mini_lauf_161\episodes.csv
161,9,dio_1k0r,LONG,SL,-1.0,-1.0,-0.810979,100.80000000,101.49600000,100.10400000,100.10400000,2,debug\dio_mini_12n_transfer_probe16\dio_mini_lauf_161\episodes.csv
161,14,dio_1t73,WAIT,NO_TRADE,0.0,0.0,0.0,99.94000000,99.94000000,99.94000000,99.94000000,0,debug\dio_mini_12n_transfer_probe16\dio_mini_lauf_161\episodes.csv
161,15,dio_1q9b,WAIT,NO_TRADE,0.0,0.0,0.0,100.18000000,100.18000000,100.18000000,100.18000000,0,debug\dio_mini_12n_transfer_probe16\dio_mini_lauf_161\episodes.csv
161,16,dio_0rb2,WAIT,NO_TRADE,0.0,0.0,0.0,100.02000000,100.02000000,100.02000000,100.02000000,0,debug\dio_mini_12n_transfer_probe16\dio_mini_lauf_161\episodes.csv
161,17,dio_1jo7,WAIT,NO_TRADE,0.0,0.0,0.0,99.64000000,99.64000000,99.64000000,99.64000000,0,debug\dio_mini_12n_transfer_probe16\dio_mini_lauf_161\episodes.csv
161,18,dio_1w4m,WAIT,NO_TRADE,0.0,0.0,0.0,99.32000000,99.32000000,99.32000000,99.32000000,0,debug\dio_mini_12n_transfer_probe16\dio_mini_lauf_161\episodes.csv
