symbol_family,action,outcome_event,count,reward_sum,avg_reward,runs,ticks,passive_only
dio_1k0r,LONG,SL,3,-3.0,-1.0,"159,160,161","9,9,9",1
dio_0cgn,SHORT,TP,1,1.0,1.0,161,1,1
dio_04zi,WAIT,NO_TRADE,2,0.0,0.0,"159,160","5,5",1
dio_06bd,WAIT,NO_TRADE,2,0.0,0.0,"159,160","3,3",1
dio_0cgn,WAIT,NO_TRADE,2,0.0,0.0,"159,160","1,1",1
dio_0fa9,WAIT,NO_TRADE,2,0.0,0.0,"159,160","2,2",1
dio_0ojr,WAIT,NO_TRADE,2,0.0,0.0,"159,160","4,4",1
dio_0rb2,WAIT,NO_TRADE,3,0.0,0.0,"159,160,161","16,16,16",1
dio_0ui9,WAIT,NO_TRADE,2,0.0,0.0,"159,160","7,7",1
dio_0vc8,WAIT,NO_TRADE,1,0.0,0.0,161,7,1
dio_1g7l,WAIT,NO_TRADE,3,0.0,0.0,"159,160,161","8,8,8",1
dio_1jo7,WAIT,NO_TRADE,3,0.0,0.0,"159,160,161","17,17,17",1
dio_1q9b,WAIT,NO_TRADE,3,0.0,0.0,"159,160,161","15,15,15",1
dio_1qig,WAIT,NO_TRADE,3,0.0,0.0,"159,160,161","6,6,6",1
dio_1t73,WAIT,NO_TRADE,3,0.0,0.0,"159,160,161","14,14,14",1
dio_1w4m,WAIT,NO_TRADE,3,0.0,0.0,"159,160,161","18,18,18",1
