inner_maturity_seed,trace_count,source_count,sources,actions,families,avg_similarity,avg_mcm_similarity,real_reward_sum,passive_only
inner_carefulness_seed,3,1,probe16,LONG,"dio_04zi:LONG,dio_1qig:LONG,dio_1w4m:LONG",0.795645417,0.798884167,-9.0,1
inner_reorganization_seed,3,1,probe15,SHORT,"dio_0izw:SHORT,dio_15ms:SHORT,dio_173s:SHORT",0.827924521,0.870298389,3.0,1
inner_trust_seed,1,1,probe18,LONG,dio_14xc:LONG,0.80021625,0.843510833,3.0,1
