world,debug_root,memory_observations,memory_mean_avg_carry,memory_mean_avg_carried_cos,memory_best_max_carry,memory_best_max_carried_cos,memory_last_positive_carried_cos_family_count,memory_last_avg_readiness,episodes,families,trades,tp,sl,wait,reward_sum,tone_counts,avg_trade_readiness,max_trade_readiness,avg_observation_trade_readiness,max_observation_trade_readiness,avg_observation_learning_pressure,max_observation_learning_pressure,avg_mini_neuro_balance,max_mini_neuro_balance,avg_mini_neuro_support,max_mini_neuro_support,avg_mini_neuro_load,max_mini_neuro_load,avg_mini_temporal_trust_support,max_mini_temporal_trust_support,avg_mini_temporal_caution_support,max_mini_temporal_caution_support
probe17,debug\dio_mini_positive_transfer_target_probe17,1,0.178789,0.27429,0.280315,0.995038,11,0.021341,72,18,0,0,0,72,0.0,"{""focus_tone"": 48, ""observation_tone"": 24}",0.012915,0.05811,0.01284,0.057946,0.433599,0.637747,0.071634,0.210933,0.285576,0.368105,0.213942,0.255807,0.0,0.0,0.72,0.72
probe18,debug\dio_mini_positive_transfer_target_probe18,1,0.178385,0.269927,0.280197,0.99571,11,0.016962,72,18,0,0,0,72,0.0,"{""focus_tone"": 48, ""observation_tone"": 24}",0.008539,0.026272,0.00844,0.02605,0.433352,0.634326,0.075426,0.212458,0.286715,0.368569,0.211288,0.250087,0.0,0.0,0.72,0.72
conflict16,debug\dio_mini_neuro_temporal_conflict_probe16,1,0.1344,-0.041084,0.260199,0.794854,7,0.015053,72,17,0,0,0,72,0.0,"{""focus_tone"": 40, ""observation_tone"": 32}",0.007643,0.026471,0.007602,0.026369,0.385155,0.639485,0.071236,0.304646,0.278316,0.406005,0.207081,0.274567,0.033839,0.609107,0.683077,0.72
