family,visible_stage_count,visible_stages,unique_text_island_count,text_island_sequence,first_score,last_score,score_delta_first_to_last,max_score,min_score,has_drift_phase,has_text_change,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_0325,2,O_FOLGEKONTAKT6|VARIANTE_P_folgekontakt7,1,dio_text_1x39ndk -> dio_text_1x39ndk,0.206666667,0.206666667,0.0,0.206666667,0.206666667,False,False,True,False,False,False,False,False,False,False
dio_07kj,2,O_FOLGEKONTAKT6|VARIANTE_P_folgekontakt7,1,dio_text_xdrx62 -> dio_text_xdrx62,0.213333333,0.213333333,0.0,0.213333333,0.213333333,False,False,True,False,False,False,False,False,False,False
dio_09u3,2,O_FOLGEKONTAKT6|VARIANTE_P_folgekontakt7,1,dio_text_xdrx62 -> dio_text_xdrx62,0.213333333,0.213333333,0.0,0.213333333,0.213333333,False,False,True,False,False,False,False,False,False,False
dio_0dki,2,O_FOLGEKONTAKT6|VARIANTE_P_folgekontakt7,1,dio_text_1yoysm7 -> dio_text_1yoysm7,0.213333333,0.213333333,0.0,0.213333333,0.213333333,False,False,True,False,False,False,False,False,False,False
dio_0eeh,2,O_FOLGEKONTAKT6|VARIANTE_P_folgekontakt7,1,dio_text_1yoysm7 -> dio_text_1yoysm7,0.213333333,0.213333333,0.0,0.213333333,0.213333333,False,False,True,False,False,False,False,False,False,False
dio_0r8l,2,O_FOLGEKONTAKT6|VARIANTE_P_folgekontakt7,1,dio_text_1iuwfze -> dio_text_1iuwfze,0.213333333,0.213333333,0.0,0.213333333,0.213333333,False,False,True,False,False,False,False,False,False,False
dio_0zkk,2,O_FOLGEKONTAKT6|VARIANTE_P_folgekontakt7,2,dio_text_4awq52 -> dio_text_ddbk0g,0.22,0.206666667,-0.013333333,0.22,0.206666667,False,True,True,False,False,False,False,False,False,False
dio_10qz,2,O_FOLGEKONTAKT6|VARIANTE_P_folgekontakt7,1,dio_text_lzxisi -> dio_text_lzxisi,0.213333333,0.213333333,0.0,0.213333333,0.213333333,False,False,True,False,False,False,False,False,False,False
dio_10xx,2,O_FOLGEKONTAKT6|VARIANTE_P_folgekontakt7,1,dio_text_1iuwfze -> dio_text_1iuwfze,0.213333333,0.213333333,0.0,0.213333333,0.213333333,False,False,True,False,False,False,False,False,False,False
dio_114i,2,O_FOLGEKONTAKT6|VARIANTE_P_folgekontakt7,1,dio_text_lzxisi -> dio_text_lzxisi,0.213333333,0.213333333,0.0,0.213333333,0.213333333,False,False,True,False,False,False,False,False,False,False
dio_12x0,2,O_FOLGEKONTAKT6|VARIANTE_P_folgekontakt7,2,dio_text_4awq52 -> dio_text_6p58cl,0.22,0.213333333,-0.006666667,0.22,0.213333333,False,True,True,False,False,False,False,False,False,False
dio_1ytc,0,,0,,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False
