kind,count,executed,reward_sum,avg_reward,max_reward
positive_executed_contact,12,12,11.791955,0.982663,1.29944
held_same_episode_contact,4,0,0.0,0.0,0.0
observed_potential,3,0,0.0,0.0,0.0
