binding_state,count,reward_sum,best_reward_sum,unrealized_best_reward_sum,held_impulse_potential_sum,avg_reward,qualities,families
observed_not_bound,21,0.0,11.177723,11.177723,0.0,0.0,observation_potential,"dio_0989,dio_0b66,dio_0gmg,dio_0qze,dio_173s,dio_1guc,dio_1s50,dio_1t1w"
executed_aligned,10,11.84597,11.84597,0.0,0.0,1.184597,executed_contact_confirmed,"dio_0hd3,dio_0szn,dio_1s50"
held_useful_impulse,1,0.0,0.743903,0.743903,0.743903,0.0,episode_binding_overholding,dio_173s
