phase,phase_run,global_run,data_path,candles,episodes,trades,long_trades,short_trades,waits,total_reward,avg_reward,unique_symbols,avg_trade_readiness,max_trade_readiness,avg_associative_trade,max_associative_trade,avg_maturity_gap,max_maturity_gap,avg_mature_transfer,max_mature_transfer,top_long_family,top_long_trust,top_short_family,top_short_trust
referenz,1,1,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,12,0,0,0,12,0.0,0.0,12,0.000605,0.000933,0.008648,0.013333,0.008042,0.0124,0.000605,0.000933,dio_0byw,0.08,dio_0zlr,0.04919579029428961
referenz,2,2,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,12,0,0,0,12,0.0,0.0,12,0.013779,0.017987,0.013784,0.022275,0.002661,0.014626,0.011123,0.017,dio_0byw,0.15360000000000001,dio_0zlr,0.09445591736503606
referenz,3,3,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,5,2,1,1,3,3.758544,0.751709,5,0.04046,0.066501,0.027949,0.031619,0.005617,0.028083,0.022332,0.031619,dio_0byw,0.4087413226613301,dio_14zx,0.3790548238623836
referenz,4,4,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.686201,0.67155,4,0.081581,0.263805,0.045186,0.052438,0.019598,0.039621,0.025588,0.052438,dio_0byw,0.628162860150074,dio_14zx,0.3790548238623836
referenz,5,5,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.686201,0.67155,4,0.17631,0.534785,0.063705,0.090044,0.019624,0.05656,0.044081,0.090044,dio_0byw,0.8168653823903939,dio_14zx,0.3790548238623836
referenz,6,6,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.686201,0.67155,4,0.296785,0.860044,0.090057,0.1381,0.019437,0.077747,0.07062,0.1381,dio_0byw,0.9791495515170688,dio_14zx,0.3790548238623836
varianz,1,7,data\kontrolliert_varianz_2episoden_5m_SOLUSDT.csv,18,12,0,0,0,12,0.0,0.0,12,0.00514,0.013454,0.073433,0.192199,0.068293,0.178745,0.00514,0.013454,dio_0byw,0.9791495515170688,dio_14zx,0.3790548238623836
varianz,2,8,data\kontrolliert_varianz_2episoden_5m_SOLUSDT.csv,18,12,0,0,0,12,0.0,0.0,12,0.014519,0.020925,0.05316,0.106,0.038641,0.090212,0.014519,0.020925,dio_0byw,0.9791495515170688,dio_14zx,0.3790548238623836
varianz,3,9,data\kontrolliert_varianz_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.901354,0.725339,4,0.040695,0.05478,0.071282,0.113327,0.031905,0.058547,0.039377,0.05478,dio_0byw,0.9791495515170688,dio_14zx,0.3790548238623836
varianz,4,10,data\kontrolliert_varianz_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.425854,0.606463,4,0.086889,0.201959,0.081912,0.117041,0.016253,0.030348,0.065659,0.117041,dio_0byw,0.9791495515170688,dio_0n4c,0.47447156587200845
rauschen,1,11,data\kontrolliert_rauschen_2episoden_5m_SOLUSDT.csv,22,16,0,0,0,16,0.0,0.0,16,0.004427,0.008424,0.06325,0.120338,0.058822,0.111914,0.004427,0.008424,dio_0byw,0.9791495515170688,dio_0n4c,0.47447156587200845
rauschen,2,12,data\kontrolliert_rauschen_2episoden_5m_SOLUSDT.csv,22,16,0,0,0,16,0.0,0.0,16,0.010319,0.020145,0.047375,0.06858,0.037056,0.051677,0.010319,0.020145,dio_0byw,0.9791495515170688,dio_0n4c,0.47447156587200845
rauschen,3,13,data\kontrolliert_rauschen_2episoden_5m_SOLUSDT.csv,22,9,2,1,1,7,3.084839,0.34276,9,0.022935,0.061152,0.050344,0.072761,0.027893,0.049428,0.022451,0.061152,dio_0byw,0.9791495515170688,dio_0n4c,0.47447156587200845
rauschen,4,14,data\kontrolliert_rauschen_2episoden_5m_SOLUSDT.csv,22,8,2,1,1,6,2.455283,0.30691,8,0.049391,0.224826,0.056253,0.077334,0.026355,0.044389,0.029898,0.077334,dio_0byw,0.9791495515170688,dio_1r0h,0.5288318784500498
