source_label,run,tick,timestamp_ms,symbol,symbol_family,family_action,action,raw_action,outcome_event,phase_time_state,episode_relation,phase_active,phase_age,finite_phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,bars_held,event_reward,reward,best_action_training,sehen_form_flow,hoeren_energy_tone,fuehlen_mcm_coherence,passive_only,influences_action,is_gate,is_motoric,time_sentence
basis,159,1,1767600300000000,dio_1txvf64,dio_1txv,dio_1txv:SHORT,SHORT,SHORT,TP,no_prior_phase,none,0,9999,,1.0,0.0,1.0,1,1.0,1.0,SHORT,0.032622,0.039728,0.988876,1,0,0,0,basis run=159 tick=1: dio_1txv SHORT/TP; Zeitspur=no_prior_phase; reward=1.000000.
basis,159,6,1767601800000000,dio_0arws0q,dio_0arw,dio_0arw:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.400801,0.0,1.0,2,1.0,1.0,LONG,-0.447325,-0.00536,0.398499,1,0,0,0,basis run=159 tick=6: dio_0arw LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
basis,159,11,1767603300000000,dio_14xcnvd,dio_14xc,dio_14xc:WAIT,WAIT,LONG,NO_TRADE,active_afterimage_contact,same_episode,1,5,5,0.536011,0.536231,0.22649,0,0.0,0.0,LONG,0.822477,0.010545,0.997047,1,0,0,0,basis run=159 tick=11: dio_14xc WAIT/NO_TRADE; Zeitspur=active_afterimage_contact; reward=0.000000.
basis,159,12,1767603600000000,dio_1vpirj0,dio_1vpi,dio_1vpi:SHORT,SHORT,SHORT,TP,executed_temporal_contact,different_contact,0,6,6,0.506345,0.0,1.0,3,1.0,1.0,SHORT,0.742634,-0.052832,0.985207,1,0,0,0,basis run=159 tick=12: dio_1vpi SHORT/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
basis,159,17,1767605100000000,dio_02qut94,dio_02qu,dio_02qu:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.373878,0.0,1.0,2,1.0,1.0,LONG,0.291659,0.053713,0.38496,1,0,0,0,basis run=159 tick=17: dio_02qu LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
basis,160,1,1767600300000000,dio_1txvf64,dio_1txv,dio_1txv:SHORT,SHORT,SHORT,TP,no_prior_phase,none,0,9999,,1.0,0.0,1.0,1,1.0,1.0,SHORT,0.032622,0.039728,0.988876,1,0,0,0,basis run=160 tick=1: dio_1txv SHORT/TP; Zeitspur=no_prior_phase; reward=1.000000.
basis,160,6,1767601800000000,dio_0arws0q,dio_0arw,dio_0arw:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.400801,0.0,1.0,2,1.0,1.0,LONG,-0.447325,-0.00536,0.398499,1,0,0,0,basis run=160 tick=6: dio_0arw LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
basis,160,11,1767603300000000,dio_14xcnvd,dio_14xc,dio_14xc:WAIT,WAIT,LONG,NO_TRADE,active_afterimage_contact,same_episode,1,5,5,0.536011,0.536231,0.226516,0,0.0,0.0,LONG,0.822477,0.010545,0.997047,1,0,0,0,basis run=160 tick=11: dio_14xc WAIT/NO_TRADE; Zeitspur=active_afterimage_contact; reward=0.000000.
basis,160,12,1767603600000000,dio_1vpirj0,dio_1vpi,dio_1vpi:SHORT,SHORT,SHORT,TP,executed_temporal_contact,different_contact,0,6,6,0.506345,0.0,1.0,3,1.0,1.0,SHORT,0.742634,-0.052832,0.985207,1,0,0,0,basis run=160 tick=12: dio_1vpi SHORT/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
basis,160,17,1767605100000000,dio_02qut94,dio_02qu,dio_02qu:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.373878,0.0,1.0,2,1.0,1.0,LONG,0.291659,0.053713,0.38496,1,0,0,0,basis run=160 tick=17: dio_02qu LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
basis,161,1,1767600300000000,dio_1txvf64,dio_1txv,dio_1txv:SHORT,SHORT,SHORT,TP,no_prior_phase,none,0,9999,,1.0,0.0,1.0,1,1.0,1.0,SHORT,0.032622,0.039728,0.988876,1,0,0,0,basis run=161 tick=1: dio_1txv SHORT/TP; Zeitspur=no_prior_phase; reward=1.000000.
