binding_state,count,reward_sum,best_reward_sum,avg_reward,families
executed_aligned,3,3.374288,3.374288,1.124763,"dio_0szn,dio_0wv3,dio_14eb"
observed_not_bound,2,0.0,0.276355,0.0,"dio_1ayy,dio_1cey"
held_useful_impulse,1,0.0,0.615236,0.0,dio_1jn5
