source_label,passive_family_action,action,inner_maturity_seed,passive_maturity_state,candidate_count,best_similarity,best_sensory_similarity,best_mcm_similarity,best_real_family_action,best_real_reward_sum,best_real_tp_count,best_real_sl_count,carried_candidate_count,burdened_candidate_count,mixed_candidate_count,inner_sentence,passive_only
probe15,dio_173s:SHORT,SHORT,inner_trust_seed,passive_observation_has_carried_neighbor,2,0.811962125,0.8090512,0.816813667,dio_1g18:SHORT,3.0,3,0,2,0,0,"dio_173s:SHORT: Ich habe diese Form passiv gesehen. Eine nahe reale Spur dio_1g18:SHORT wurde getragen (Naehe=0.811962, Konsequenz=3.000000).",1
probe18,dio_14xc:LONG,LONG,inner_trust_seed,passive_observation_has_carried_neighbor,2,0.80021625,0.7742395,0.843510833,dio_02qu:LONG,3.0,3,0,2,0,0,"dio_14xc:LONG: Ich habe diese Form passiv gesehen. Eine nahe reale Spur dio_02qu:LONG wurde getragen (Naehe=0.800216, Konsequenz=3.000000).",1
