symbol_family,trace_carry_state,visible_probe_count,carried_probe_count,kipp_probe_count,carry_ratio,first_probe,last_probe,first_kipp_probe,first_kipp_state,carried_before_first_kipp,longest_carried_run,longest_kipp_run,dominant_kipp_state,family_temporal_kipp_state,direction_support_state,alignment_state,left_text_island_symbol,right_text_island_symbol,score_delta,probe_path,kipp_state_path,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_03sc,trace_carries_then_kipps,3,2,1,0.666666667,probe20,probe25,probe25,probe_lived_support_drop,2,2,1,probe_lived_support_drop,family_loses_lived_support,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_anc9t7,dio_text_anc9t7,0.0,probe20 -> probe22 -> probe25,probe_no_visible_kipp -> probe_no_visible_kipp -> probe_lived_support_drop,True,False,False,False,False,False,False,False
dio_05ws,trace_carries_then_kipps,6,2,4,0.333333333,probe20,probe26,probe22,probe_trade_readiness_softens,1,1,3,probe_trade_readiness_softens,family_loses_lived_support,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_18ku4h1,dio_text_18ku4h1,0.0,probe20 -> probe22 -> probe23 -> probe24 -> probe25 -> probe26,probe_no_visible_kipp -> probe_trade_readiness_softens -> probe_trade_readiness_softens -> probe_trade_readiness_softens -> probe_no_visible_kipp -> probe_lived_support_drop,True,False,False,False,False,False,False,False
dio_06b8,trace_carries_then_kipps,6,2,4,0.333333333,probe20,probe26,probe22,probe_trade_readiness_softens,2,2,4,probe_trade_readiness_softens,family_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1mdfmx0,dio_text_1mdfmx0,0.0,probe20 -> probe21 -> probe22 -> probe24 -> probe25 -> probe26,probe_no_visible_kipp -> probe_no_visible_kipp -> probe_trade_readiness_softens -> probe_trade_readiness_softens -> probe_trade_readiness_softens -> probe_trade_readiness_softens,True,False,False,False,False,False,False,False
dio_0dos,trace_carries_then_kipps,3,2,1,0.666666667,probe22,probe25,probe25,probe_lived_support_drop,2,2,1,probe_lived_support_drop,family_loses_lived_support,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1jr7z4y,dio_text_1jr7z4y,0.0,probe22 -> probe24 -> probe25,probe_no_visible_kipp -> probe_no_visible_kipp -> probe_lived_support_drop,True,False,False,False,False,False,False,False
dio_0eeh,trace_carries_then_kipps,5,3,2,0.6,probe20,probe26,probe24,probe_trade_readiness_softens,3,3,2,probe_trade_readiness_softens,family_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_jo4l86,dio_text_jo4l86,0.0,probe20 -> probe21 -> probe22 -> probe24 -> probe26,probe_no_visible_kipp -> probe_no_visible_kipp -> probe_no_visible_kipp -> probe_trade_readiness_softens -> probe_trade_readiness_softens,True,False,False,False,False,False,False,False
dio_0qfc,trace_carries_then_kipps,2,1,1,0.5,probe20,probe26,probe26,probe_trade_readiness_softens,1,1,1,probe_trade_readiness_softens,family_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_nnvq8,dio_text_nnvq8,0.0,probe20 -> probe26,probe_no_visible_kipp -> probe_trade_readiness_softens,True,False,False,False,False,False,False,False
dio_0t27,trace_carries_then_kipps,2,1,1,0.5,probe25,probe26,probe26,probe_best_reward_softens,1,1,1,probe_best_reward_softens,family_best_reward_softens,direction_support_not_visible_right,same_sensory_field_visible,dio_text_1j80ia3,dio_text_1j80ia3,0.0,probe25 -> probe26,probe_no_visible_kipp -> probe_best_reward_softens,True,False,False,False,False,False,False,False
dio_0zq7,trace_carries_then_kipps,4,2,2,0.5,probe22,probe26,probe25,probe_lived_support_drop,2,2,2,probe_lived_support_drop,family_loses_lived_support,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1th2n0q,dio_text_1th2n0q,0.0,probe22 -> probe24 -> probe25 -> probe26,probe_no_visible_kipp -> probe_no_visible_kipp -> probe_lived_support_drop -> probe_lived_support_drop,True,False,False,False,False,False,False,False
dio_16kq,trace_carries_then_kipps,2,1,1,0.5,probe20,probe24,probe24,probe_lived_support_drop,1,1,1,probe_lived_support_drop,family_loses_lived_support,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1qlk2kz,dio_text_1qlk2kz,0.0,probe20 -> probe24,probe_no_visible_kipp -> probe_lived_support_drop,True,False,False,False,False,False,False,False
dio_1f9y,trace_carries_then_kipps,2,1,1,0.5,probe23,probe24,probe24,probe_best_reward_softens,1,1,1,probe_best_reward_softens,family_best_reward_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_qxbcil,dio_text_qxbcil,0.0,probe23 -> probe24,probe_no_visible_kipp -> probe_best_reward_softens,True,False,False,False,False,False,False,False
dio_1qaq,trace_carries_then_kipps,2,1,1,0.5,probe21,probe26,probe26,probe_trade_readiness_softens,1,1,1,probe_trade_readiness_softens,family_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_gg7sj4,dio_text_gg7sj4,0.0,probe21 -> probe26,probe_no_visible_kipp -> probe_trade_readiness_softens,True,False,False,False,False,False,False,False
dio_1qst,trace_carries_then_kipps,3,1,2,0.333333333,probe20,probe24,probe22,probe_trade_readiness_softens,1,1,2,probe_trade_readiness_softens,family_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_nc8ood,dio_text_nc8ood,0.0,probe20 -> probe22 -> probe24,probe_no_visible_kipp -> probe_trade_readiness_softens -> probe_trade_readiness_softens,True,False,False,False,False,False,False,False
dio_1s9i,trace_carries_then_kipps,3,1,2,0.333333333,probe20,probe24,probe22,probe_best_reward_softens,1,1,2,probe_best_reward_softens,family_loses_lived_support,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_110kwje,dio_text_110kwje,0.0,probe20 -> probe22 -> probe24,probe_no_visible_kipp -> probe_best_reward_softens -> probe_lived_support_drop,True,False,False,False,False,False,False,False
dio_1si6,trace_carries_then_kipps,2,1,1,0.5,probe21,probe23,probe23,probe_lived_support_drop,1,1,1,probe_lived_support_drop,family_loses_lived_support,same_sensory_field_direction_reward_weakens,same_sensory_field_visible,dio_text_1axxr0j,dio_text_1axxr0j,0.0,probe21 -> probe23,probe_no_visible_kipp -> probe_lived_support_drop,True,False,False,False,False,False,False,False
dio_1tjm,trace_carries_then_kipps,3,1,2,0.333333333,probe21,probe24,probe23,probe_trade_readiness_softens,1,1,2,probe_trade_readiness_softens,family_loses_lived_support,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_4srlmc,dio_text_4srlmc,0.0,probe21 -> probe23 -> probe24,probe_no_visible_kipp -> probe_trade_readiness_softens -> probe_lived_support_drop,True,False,False,False,False,False,False,False
dio_00r9,trace_fully_carried,1,1,0,1.0,probe23,probe23,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_bto3lt,dio_text_bto3lt,0.0,probe23,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_010h,trace_fully_carried,1,1,0,1.0,probe25,probe25,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_kyukuv,dio_text_kyukuv,0.0,probe25,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_0120,trace_fully_carried,1,1,0,1.0,probe23,probe23,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1ahli2l,dio_text_1ahli2l,0.0,probe23,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_015b,trace_fully_carried,1,1,0,1.0,probe25,probe25,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_iqfs7g,dio_text_iqfs7g,0.0,probe25,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_01px,trace_fully_carried,1,1,0,1.0,probe21,probe21,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_pktwcn,dio_text_pktwcn,0.0,probe21,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_01sj,trace_fully_carried,1,1,0,1.0,probe26,probe26,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_l4qsr6,dio_text_l4qsr6,0.0,probe26,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_02y8,trace_fully_carried,1,1,0,1.0,probe21,probe21,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_73ysj,dio_text_73ysj,0.0,probe21,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_05e5,trace_fully_carried,1,1,0,1.0,probe24,probe24,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_uo1fl9,dio_text_uo1fl9,0.0,probe24,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_05xk,trace_fully_carried,4,4,0,1.0,probe20,probe26,-,probe_no_visible_kipp,4,4,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1443oo6,dio_text_1443oo6,0.0,probe20 -> probe22 -> probe25 -> probe26,probe_no_visible_kipp -> probe_no_visible_kipp -> probe_no_visible_kipp -> probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_065c,trace_fully_carried,1,1,0,1.0,probe22,probe22,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_624m46,dio_text_624m46,0.0,probe22,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_06gy,trace_fully_carried,1,1,0,1.0,probe21,probe21,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_49bo5i,dio_text_49bo5i,0.0,probe21,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_09tm,trace_fully_carried,1,1,0,1.0,probe21,probe21,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_5k5jo,dio_text_5k5jo,0.0,probe21,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_09u3,trace_fully_carried,2,2,0,1.0,probe25,probe26,-,probe_no_visible_kipp,2,2,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_hcsd1z,dio_text_hcsd1z,0.0,probe25 -> probe26,probe_no_visible_kipp -> probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_0a7t,trace_fully_carried,1,1,0,1.0,probe26,probe26,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1quzea4,dio_text_1quzea4,0.0,probe26,probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_0bm2,trace_fully_carried,2,2,0,1.0,probe25,probe26,-,probe_no_visible_kipp,2,2,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_165ur45,dio_text_165ur45,0.0,probe25 -> probe26,probe_no_visible_kipp -> probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_0ce4,trace_fully_carried,3,3,0,1.0,probe22,probe26,-,probe_no_visible_kipp,3,3,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_3e1xd0,dio_text_3e1xd0,0.0,probe22 -> probe24 -> probe26,probe_no_visible_kipp -> probe_no_visible_kipp -> probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_0e37,trace_fully_carried,3,3,0,1.0,probe20,probe24,-,probe_no_visible_kipp,3,3,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_mxoyl,dio_text_mxoyl,0.0,probe20 -> probe22 -> probe24,probe_no_visible_kipp -> probe_no_visible_kipp -> probe_no_visible_kipp,True,False,False,False,False,False,False,False
dio_0eq2,trace_fully_carried,1,1,0,1.0,probe21,probe21,-,probe_no_visible_kipp,1,1,0,-,family_no_visible_temporal_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1ax4n8,dio_text_1ax4n8,0.0,probe21,probe_no_visible_kipp,True,False,False,False,False,False,False,False
