probe,family_count,carried_count,kipp_count,carry_ratio,lived_support_drop_count,direction_flip_count,observation_direction_flip_count,best_reward_softens_count,trade_readiness_softens_count,neuro_tone_reorganizes_count,temporal_state_reorganizes_count,avg_episode_count_delta,avg_trade_readiness_delta,avg_best_reward_training_delta,state_counts,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
probe20,61,25,36,0.409836066,7,0,0,3,21,5,0,0.0,3.266e-06,-0.027622344,probe_best_reward_softens:3|probe_lived_support_drop:7|probe_neuro_tone_reorganizes:5|probe_no_visible_kipp:25|probe_trade_readiness_softens:21,True,False,False,False,False,False,False,False
probe21,57,31,26,0.543859649,4,0,0,7,15,0,0,-0.140350877,0.0002765,-0.025361175,probe_best_reward_softens:7|probe_lived_support_drop:4|probe_no_visible_kipp:31|probe_trade_readiness_softens:15,True,False,False,False,False,False,False,False
probe22,62,16,46,0.258064516,6,0,0,8,26,6,0,-0.032258065,-0.000717633,-0.003260113,probe_best_reward_softens:8|probe_lived_support_drop:6|probe_neuro_tone_reorganizes:6|probe_no_visible_kipp:16|probe_trade_readiness_softens:26,True,False,False,False,False,False,False,False
probe23,56,24,32,0.428571429,2,1,0,6,22,1,0,-0.035714286,0.00022708,-0.002342714,probe_best_reward_softens:6|probe_direction_flip:1|probe_lived_support_drop:2|probe_neuro_tone_reorganizes:1|probe_no_visible_kipp:24|probe_trade_readiness_softens:22,True,False,False,False,False,False,False,False
probe24,62,25,37,0.403225806,5,0,0,9,20,3,0,-0.064516129,-0.000841661,-0.031894129,probe_best_reward_softens:9|probe_lived_support_drop:5|probe_neuro_tone_reorganizes:3|probe_no_visible_kipp:25|probe_trade_readiness_softens:20,True,False,False,False,False,False,False,False
probe25,56,23,33,0.410714286,5,0,0,3,23,2,0,-0.107142857,-0.000794187,-0.064848786,probe_best_reward_softens:3|probe_lived_support_drop:5|probe_neuro_tone_reorganizes:2|probe_no_visible_kipp:23|probe_trade_readiness_softens:23,True,False,False,False,False,False,False,False
probe26,57,19,38,0.333333333,4,0,0,4,23,7,0,0.140350877,-0.003436241,0.040637526,probe_best_reward_softens:4|probe_lived_support_drop:4|probe_neuro_tone_reorganizes:7|probe_no_visible_kipp:19|probe_trade_readiness_softens:23,True,False,False,False,False,False,False,False
