trace_carry_state,family_count,avg_carry_ratio,avg_carried_before_first_kipp,families,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
trace_immediate_or_continuous_kipp,123,0.0,0.0,dio_005k|dio_01w7|dio_02rt|dio_0325|dio_05cu|dio_06jl|dio_07lp|dio_07mb|dio_07t9|dio_080e|dio_091t|dio_09ow|dio_0avw|dio_0azl|dio_0b2b|dio_0bde|dio_0cxr|dio_0e02|dio_0ehw|dio_0fsp|dio_0ft4|dio_0g2u|dio_0gmg|dio_0haj|dio_0i4h|dio_0ink|dio_0iou|dio_0irs|dio_0j34|dio_0j8d|dio_0k0f|dio_0ksa|dio_0lrt|dio_0m9e|dio_0ngs|dio_0ni1|dio_0nvd|dio_0o73|dio_0ocp|dio_0omt,True,False,False,False,False,False,False,False
trace_fully_carried,96,1.0,1.25,dio_00r9|dio_010h|dio_0120|dio_015b|dio_01px|dio_01sj|dio_02y8|dio_05e5|dio_05xk|dio_065c|dio_06gy|dio_09tm|dio_09u3|dio_0a7t|dio_0bm2|dio_0ce4|dio_0e37|dio_0eq2|dio_0g55|dio_0hlx|dio_0icm|dio_0ipe|dio_0jg9|dio_0jgk|dio_0jp7|dio_0jx1|dio_0kae|dio_0kom|dio_0kw1|dio_0l9d|dio_0lf6|dio_0m7s|dio_0nki|dio_0nmw|dio_0nrp|dio_0ocv|dio_0qcz|dio_0qjm|dio_0r90|dio_0rt8,True,False,False,False,False,False,False,False
trace_carries_then_kipps,15,0.473333333,1.4,dio_03sc|dio_05ws|dio_06b8|dio_0dos|dio_0eeh|dio_0qfc|dio_0t27|dio_0zq7|dio_16kq|dio_1f9y|dio_1qaq|dio_1qst|dio_1s9i|dio_1si6|dio_1tjm,True,False,False,False,False,False,False,False
trace_kipps_then_recarries,9,0.507407407,0.0,dio_07mw|dio_0hl8|dio_0ic6|dio_0r8l|dio_12x0|dio_1dl4|dio_1im7|dio_1jba|dio_1pel,True,False,False,False,False,False,False,False
trace_mixed_mostly_carried,3,0.638888889,1.333333333,dio_005q|dio_1gsg|dio_1p8y,True,False,False,False,False,False,False,False
trace_mixed_mostly_kipped,1,0.333333333,0.0,dio_1wgb,True,False,False,False,False,False,False,False
