fragment_recurrence_state,fragment_group,fragment,source_count,sources,target_families,related_families,island_states,island_symbols,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
recurring_passive_shared_core_fragment,persistent_shared_core,fuehlen_mcm_coherence,4,dio_0x52_dio_0eh8_v1|dio_0x52_dio_0hd3_v1|dio_0x52_dio_0qze_v1|dio_0x52_dio_0szn_v1,dio_0x52,dio_0eh8|dio_0hd3|dio_0qze|dio_0szn,passive_fragment_island_shared_core,dio_fragment_island_0dgpqim|dio_fragment_island_0qn0vkb|dio_fragment_island_1d966sd|dio_fragment_island_1k8xbbj,True,False,False,False,False,False,False,False
recurring_passive_shared_core_fragment,persistent_shared_core,sehen_form_stability,4,dio_0x52_dio_0eh8_v1|dio_0x52_dio_0hd3_v1|dio_0x52_dio_0qze_v1|dio_0x52_dio_0szn_v1,dio_0x52,dio_0eh8|dio_0hd3|dio_0qze|dio_0szn,passive_fragment_island_shared_core,dio_fragment_island_0dgpqim|dio_fragment_island_0qn0vkb|dio_fragment_island_1d966sd|dio_fragment_island_1k8xbbj,True,False,False,False,False,False,False,False
recurring_passive_target_expansion_fragment,target_only_new_fragments,reflection_context_alignment,4,dio_0x52_dio_0eh8_v1|dio_0x52_dio_0hd3_v1|dio_0x52_dio_0qze_v1|dio_0x52_dio_0szn_v1,dio_0x52,dio_0eh8|dio_0hd3|dio_0qze|dio_0szn,passive_fragment_island_target_expansion,dio_fragment_island_0co7c5l|dio_fragment_island_0g99myp|dio_fragment_island_0sa325x|dio_fragment_island_1qpxmhm,True,False,False,False,False,False,False,False
recurring_passive_target_expansion_fragment,target_only_new_fragments,reflection_context_carry,4,dio_0x52_dio_0eh8_v1|dio_0x52_dio_0hd3_v1|dio_0x52_dio_0qze_v1|dio_0x52_dio_0szn_v1,dio_0x52,dio_0eh8|dio_0hd3|dio_0qze|dio_0szn,passive_fragment_island_target_expansion,dio_fragment_island_0co7c5l|dio_fragment_island_0g99myp|dio_fragment_island_0sa325x|dio_fragment_island_1qpxmhm,True,False,False,False,False,False,False,False
recurring_passive_target_expansion_fragment,target_only_new_fragments,reflection_context_strain,4,dio_0x52_dio_0eh8_v1|dio_0x52_dio_0hd3_v1|dio_0x52_dio_0qze_v1|dio_0x52_dio_0szn_v1,dio_0x52,dio_0eh8|dio_0hd3|dio_0qze|dio_0szn,passive_fragment_island_target_expansion,dio_fragment_island_0co7c5l|dio_fragment_island_0g99myp|dio_fragment_island_0sa325x|dio_fragment_island_1qpxmhm,True,False,False,False,False,False,False,False
recurring_passive_fragment_trace,all_shared_fragments,fuehlen_mcm_coherence,3,dio_0x52_dio_0eh8_v1|dio_0x52_dio_0hd3_v1|dio_0x52_dio_0qze_v1,dio_0x52,dio_0eh8|dio_0hd3|dio_0qze,passive_fragment_trace,dio_fragment_island_0tctlt4|dio_fragment_island_14fexah|dio_fragment_island_1l1bst2,True,False,False,False,False,False,False,False
recurring_passive_fragment_trace,all_shared_fragments,sehen_form_stability,3,dio_0x52_dio_0eh8_v1|dio_0x52_dio_0hd3_v1|dio_0x52_dio_0qze_v1,dio_0x52,dio_0eh8|dio_0hd3|dio_0qze,passive_fragment_trace,dio_fragment_island_0tctlt4|dio_fragment_island_14fexah|dio_fragment_island_1l1bst2,True,False,False,False,False,False,False,False
recurring_passive_target_expansion_fragment,target_only_new_fragments,hoeren_energy_tone,3,dio_0x52_dio_0eh8_v1|dio_0x52_dio_0qze_v1|dio_0x52_dio_0szn_v1,dio_0x52,dio_0eh8|dio_0qze|dio_0szn,passive_fragment_island_target_expansion,dio_fragment_island_0co7c5l|dio_fragment_island_0sa325x|dio_fragment_island_1qpxmhm,True,False,False,False,False,False,False,False
recurring_passive_fragment_trace,all_shared_fragments,fuehlen_mcm_tension,2,dio_0x52_dio_0eh8_v1|dio_0x52_dio_0qze_v1,dio_0x52,dio_0eh8|dio_0qze,passive_fragment_trace,dio_fragment_island_0tctlt4|dio_fragment_island_14fexah,True,False,False,False,False,False,False,False
recurring_passive_new_shared_fragment,gained_shared_fragments,fuehlen_mcm_tension,2,dio_0x52_dio_0eh8_v1|dio_0x52_dio_0qze_v1,dio_0x52,dio_0eh8|dio_0qze,passive_fragment_trace,dio_fragment_island_0kwgeye|dio_fragment_island_1bnvtq3,True,False,False,False,False,False,False,False
recurring_passive_target_expansion_fragment,target_only_new_fragments,fuehlen_mcm_tension,2,dio_0x52_dio_0hd3_v1|dio_0x52_dio_0szn_v1,dio_0x52,dio_0hd3|dio_0szn,passive_fragment_island_target_expansion,dio_fragment_island_0g99myp|dio_fragment_island_0sa325x,True,False,False,False,False,False,False,False
single_passive_fragment_trace,all_shared_fragments,hoeren_energy_tone,1,dio_0x52_dio_0hd3_v1,dio_0x52,dio_0hd3,passive_fragment_trace,dio_fragment_island_1l1bst2,True,False,False,False,False,False,False,False
single_passive_fragment_trace,gained_shared_fragments,hoeren_energy_tone,1,dio_0x52_dio_0hd3_v1,dio_0x52,dio_0hd3,passive_fragment_trace,dio_fragment_island_0oue8eh,True,False,False,False,False,False,False,False
