inner_state,contact_quality,world_count,worlds,count,reward_sum,best_reward_sum,avg_reward,families,contact_qualities,avg_sehen_form_flow,avg_sehen_form_stability,avg_hoeren_energy_tone,avg_fuehlen_mcm_coherence,avg_fuehlen_mcm_tension,world
inner_carried,,1,probe17_first,22,4.84151,21.424976,0.220069,"dio_0120,dio_04z7,dio_0akd,dio_0bmh,dio_0n9e,dio_0ofo,dio_1bwb","observed_potential,positive_real_contact",-0.03971,0.136364,0.029994,0.462311,0.199109,probe17_first
inner_carried,,1,probe17_repeat,12,13.806564,13.806564,1.150547,"dio_04z7,dio_0ofo,dio_1bwb",positive_real_contact,-0.132995,0.0,-0.00264,0.38741,0.143766,probe17_repeat
inner_carried,,1,probe18_first,16,3.498238,15.318371,0.21864,"dio_0120,dio_0arw,dio_0bmh,dio_0ems,dio_0t0v,dio_1u7v","negative_real_contact,observed_potential,positive_real_contact",-0.054601,0.5625,0.054294,0.718461,0.232516,probe18_first
inner_carried,,1,probe18_repeat1,14,11.335684,13.409002,0.809692,"dio_0120,dio_0akd,dio_0arw,dio_0t0v,dio_1u7v","observed_potential,positive_real_contact",-0.028781,0.142857,0.006414,0.471882,0.161438,probe18_repeat1
inner_carried,,1,probe18_repeat2,12,13.26362,13.26362,1.105302,"dio_0arw,dio_0t0v,dio_1u7v",positive_real_contact,-0.123789,0.0,-0.019726,0.387061,0.14308,probe18_repeat2
inner_open_observation,,1,probe17_first,30,0.0,10.882658,0.0,"dio_040y,dio_0fzl,dio_0ps1,dio_10dk,dio_13u8,dio_14xc,dio_1d1z,dio_1d3r,dio_1f9y,dio_1mym",observed_potential,0.262093,0.133333,0.100215,0.441346,0.312358,probe17_first
inner_unfinished,,1,probe17_first,4,0.0,2.780168,0.0,dio_1k7y,observed_potential,0.359266,0.0,-0.077778,0.378222,0.290899,probe17_first
inner_open_observation,,1,probe17_repeat,8,0.0,1.078624,0.0,"dio_14xc,dio_1mym",observed_potential,0.79977,1.0,-0.023591,0.986824,0.378155,probe17_repeat
inner_unfinished,,1,probe17_repeat,4,0.0,2.780168,0.0,dio_1k7y,observed_potential,0.359266,0.0,-0.077778,0.378222,0.290899,probe17_repeat
inner_unfinished,,1,probe18_first,1,0.0,0.629146,0.0,dio_00qb,observed_potential,0.402576,0.0,-0.078022,0.378154,0.299928,probe18_first
inner_open_observation,,1,probe18_first,20,0.0,8.283818,0.0,"dio_02qu,dio_0fiy,dio_0igh,dio_0x1o,dio_14xc,dio_16yc,dio_1g2t,dio_1qwp",observed_potential,0.102151,0.0,0.142635,0.355517,0.306392,probe18_first
inner_cautious,,1,probe18_first,3,-1.027449,0.427449,-0.342483,dio_1vpi,negative_real_contact,0.742634,1.0,-0.052832,0.985207,0.348372,probe18_first
inner_unfinished,,1,probe18_repeat1,2,0.0,1.258292,0.0,dio_00qb,observed_potential,0.402576,0.0,-0.078022,0.378154,0.299928,probe18_repeat1
inner_open_observation,,1,probe18_repeat1,6,0.0,1.11294,0.0,"dio_02qu,dio_14xc",observed_potential,0.645538,0.666667,0.024934,0.793018,0.315406,probe18_repeat1
inner_cautious,,1,probe18_repeat1,4,-0.684966,0.569932,-0.171241,dio_1vpi,"negative_real_contact,observed_potential",0.742634,1.0,-0.052832,0.985207,0.348372,probe18_repeat1
inner_unfinished,,1,probe18_repeat2,4,0.0,2.516584,0.0,dio_00qb,observed_potential,0.402576,0.0,-0.078022,0.378154,0.299928,probe18_repeat2
inner_open_observation,,1,probe18_repeat2,4,0.0,0.37806,0.0,dio_14xc,observed_potential,0.822477,1.0,0.010545,0.997047,0.377032,probe18_repeat2
inner_cautious,,1,probe18_repeat2,4,0.0,0.569932,0.0,dio_1vpi,observed_potential,0.742634,1.0,-0.052832,0.985207,0.348372,probe18_repeat2
