compare_state,family_count,left_reward_sum,right_reward_sum,families
left_only_single,6,1.0,0.0,"dio_0arw,dio_0fiy,dio_0igh,dio_0x1o,dio_1g2t,dio_1qwp"
left_only_trust,2,6.0,0.0,"dio_02qu,dio_1vpi"
left_only_variant,2,2.0,0.0,"dio_16yc,dio_1txv"
right_only_quiet,2,0.0,0.0,"dio_01vz,dio_1m4n"
right_only_single,8,0.0,1.0,"dio_0120,dio_040y,dio_0ofo,dio_0ps1,dio_10dk,dio_1d3r,dio_1f9y,dio_1mym"
right_only_trust,1,0.0,3.0,dio_1k7y
right_only_variant,2,0.0,2.0,"dio_1c6b,dio_1d1z"
same_family_same_single,2,0.0,0.0,"dio_143d,dio_14xc"
