symbol_family,compare_state,left_label,right_label,left_landkarte_state,right_landkarte_state,left_reflection_state,right_reflection_state,left_runs,right_runs,left_reward_sum,right_reward_sum,left_identical_repeat,right_identical_repeat,compare_sentence,passive_only
dio_0arw,left_only_single,probe18_12n,probe17_transfer_12n,inner_map_single_observation,-,reflection_trust_seed,-,158,-,1.0,0.0,0,0,dio_0arw: Vergleichszustand=left_only_single.,1
dio_0fiy,left_only_single,probe18_12n,probe17_transfer_12n,inner_map_single_observation,-,reflection_negative_open,-,156,-,-1.0,0.0,0,0,dio_0fiy: Vergleichszustand=left_only_single.,1
dio_0igh,left_only_single,probe18_12n,probe17_transfer_12n,inner_map_single_observation,-,reflection_quiet_observation,-,156,-,0.0,0.0,0,0,dio_0igh: Vergleichszustand=left_only_single.,1
dio_0x1o,left_only_single,probe18_12n,probe17_transfer_12n,inner_map_single_observation,-,reflection_trust_seed,-,157,-,1.0,0.0,0,0,dio_0x1o: Vergleichszustand=left_only_single.,1
dio_1g2t,left_only_single,probe18_12n,probe17_transfer_12n,inner_map_single_observation,-,reflection_quiet_observation,-,156,-,0.0,0.0,0,0,dio_1g2t: Vergleichszustand=left_only_single.,1
dio_1qwp,left_only_single,probe18_12n,probe17_transfer_12n,inner_map_single_observation,-,reflection_quiet_observation,-,156,-,0.0,0.0,0,0,dio_1qwp: Vergleichszustand=left_only_single.,1
dio_02qu,left_only_trust,probe18_12n,probe17_transfer_12n,inner_map_trust_stable_identical_repeat,-,reflection_trust_seed,-,"156,157,158",-,3.0,0.0,1,0,"dio_02qu: war links getragen, taucht rechts aber nicht als gleiche Syntaxfamilie auf.",1
dio_1vpi,left_only_trust,probe18_12n,probe17_transfer_12n,inner_map_trust_stable_identical_repeat,-,reflection_trust_seed,-,"156,157,158",-,3.0,0.0,1,0,"dio_1vpi: war links getragen, taucht rechts aber nicht als gleiche Syntaxfamilie auf.",1
dio_16yc,left_only_variant,probe18_12n,probe17_transfer_12n,inner_map_shift_or_variant,-,reflection_confirmation_seed,-,"156,157",-,1.0,0.0,0,0,dio_16yc: Vergleichszustand=left_only_variant.,1
dio_1txv,left_only_variant,probe18_12n,probe17_transfer_12n,inner_map_shift_or_variant,-,reflection_confirmation_seed,-,"156,157,158",-,1.0,0.0,0,0,dio_1txv: Vergleichszustand=left_only_variant.,1
dio_01vz,right_only_quiet,probe18_12n,probe17_transfer_12n,-,inner_map_quiet_stable_identical_repeat,-,reflection_quiet_observation,-,"159,161",0.0,0.0,0,1,dio_01vz: entsteht rechts als ruhige Beobachtung neu.,1
dio_1m4n,right_only_quiet,probe18_12n,probe17_transfer_12n,-,inner_map_quiet_stable_identical_repeat,-,reflection_quiet_observation,-,"159,161",0.0,0.0,0,1,dio_1m4n: entsteht rechts als ruhige Beobachtung neu.,1
dio_0120,right_only_single,probe18_12n,probe17_transfer_12n,-,inner_map_single_observation,-,reflection_quiet_observation,-,160,0.0,0.0,0,0,dio_0120: Vergleichszustand=right_only_single.,1
dio_040y,right_only_single,probe18_12n,probe17_transfer_12n,-,inner_map_single_observation,-,reflection_quiet_observation,-,159,0.0,0.0,0,0,dio_040y: Vergleichszustand=right_only_single.,1
dio_0ofo,right_only_single,probe18_12n,probe17_transfer_12n,-,inner_map_single_observation,-,reflection_trust_seed,-,161,0.0,1.0,0,0,dio_0ofo: Vergleichszustand=right_only_single.,1
dio_0ps1,right_only_single,probe18_12n,probe17_transfer_12n,-,inner_map_single_observation,-,reflection_trust_seed,-,160,0.0,1.0,0,0,dio_0ps1: Vergleichszustand=right_only_single.,1
dio_10dk,right_only_single,probe18_12n,probe17_transfer_12n,-,inner_map_single_observation,-,reflection_quiet_observation,-,159,0.0,0.0,0,0,dio_10dk: Vergleichszustand=right_only_single.,1
dio_1d3r,right_only_single,probe18_12n,probe17_transfer_12n,-,inner_map_single_observation,-,reflection_negative_open,-,159,0.0,-1.0,0,0,dio_1d3r: Vergleichszustand=right_only_single.,1
dio_1f9y,right_only_single,probe18_12n,probe17_transfer_12n,-,inner_map_single_observation,-,reflection_quiet_observation,-,159,0.0,0.0,0,0,dio_1f9y: Vergleichszustand=right_only_single.,1
dio_1mym,right_only_single,probe18_12n,probe17_transfer_12n,-,inner_map_single_observation,-,reflection_quiet_observation,-,160,0.0,0.0,0,0,dio_1mym: Vergleichszustand=right_only_single.,1
dio_1k7y,right_only_trust,probe18_12n,probe17_transfer_12n,-,inner_map_trust_stable_identical_repeat,-,reflection_trust_seed,-,"159,160,161",0.0,3.0,0,1,dio_1k7y: entsteht rechts als getragene Familie neu.,1
dio_1c6b,right_only_variant,probe18_12n,probe17_transfer_12n,-,inner_map_shift_or_variant,-,reflection_confirmation_seed,-,"159,160,161",0.0,1.0,0,0,dio_1c6b: entsteht rechts als Variante/Uebergang neu.,1
dio_1d1z,right_only_variant,probe18_12n,probe17_transfer_12n,-,inner_map_shift_or_variant,-,reflection_confirmation_seed,-,"159,160",0.0,1.0,0,0,dio_1d1z: entsteht rechts als Variante/Uebergang neu.,1
dio_143d,same_family_same_single,probe18_12n,probe17_transfer_12n,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_quiet_observation,156,159,0.0,0.0,0,0,dio_143d: Vergleichszustand=same_family_same_single.,1
dio_14xc,same_family_same_single,probe18_12n,probe17_transfer_12n,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_quiet_observation,158,161,0.0,0.0,0,0,dio_14xc: Vergleichszustand=same_family_same_single.,1
