debug_root,root_name,episodes,executed_confirmed_count,executed_confirmed_reward,overheld_count,overheld_potential,observed_potential_count,observed_potential,quiet_count,binding_balance_note
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe12_action_driver_check,dio_mini_probe12_action_driver_check,6,3,3.374288,1,0.615236,2,0.276355,0,mixed
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_sensor_relation_probe13_short_reife_varianz_shift,dio_mini_sensor_relation_probe13_short_reife_varianz_shift,52,5,6.009556,2,1.530746,43,24.373861,2,large_observation_potential
