text_island_symbol,anchor_exchange_state,left_inner_state,right_inner_state,score_delta,family_stability,anchor_families,added_families,removed_families,left_maturity_state,right_maturity_state,left_score,right_score,left_families,right_families,dio_anchor_exchange_sentence,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_text_123xt6i,anchor_thinning,inner_soft_variation_space,inner_soft_variation_space,0.016666667,0.333333333,dio_0g9z|dio_1a3i,,dio_108f|dio_1958|dio_1cru|dio_1fdl,variant_resilient_text_island,variant_resilient_text_island,0.494414933,0.5110816,dio_0g9z|dio_108f|dio_1958|dio_1a3i|dio_1cru|dio_1fdl,dio_0g9z|dio_1a3i,"dio_text_123xt6i: anchor_thinning; anchor=dio_0g9z|dio_1a3i; added=-; removed=dio_108f|dio_1958|dio_1cru|dio_1fdl; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_12cwxbj,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_0p65|dio_0unl,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.333333333,0.333333333,dio_0p65|dio_0unl,dio_0p65|dio_0unl,"dio_text_12cwxbj: same_family_basis; anchor=dio_0p65|dio_0unl; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_12kcrab,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_1uxs,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.326666667,0.326666667,dio_1uxs,dio_1uxs,"dio_text_12kcrab: same_family_basis; anchor=dio_1uxs; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_12rl5ke,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_00x2|dio_0tfu,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.333333333,0.333333333,dio_00x2|dio_0tfu,dio_00x2|dio_0tfu,"dio_text_12rl5ke: same_family_basis; anchor=dio_00x2|dio_0tfu; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_12s80z7,new_text_island,absent,inner_unconfirmed_raw_space,0.206666667,0.0,,dio_0vu0,,absent,new_unconfirmed_text_island,0.0,0.206666667,,dio_0vu0,"dio_text_12s80z7: new_text_island; anchor=-; added=dio_0vu0; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_137bra8,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_05bh|dio_0cip|dio_0fip,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.34,0.34,dio_05bh|dio_0cip|dio_0fip,dio_05bh|dio_0cip|dio_0fip,"dio_text_137bra8: same_family_basis; anchor=dio_05bh|dio_0cip|dio_0fip; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_13es2gi,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_12ve,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.326666667,0.326666667,dio_12ve,dio_12ve,"dio_text_13es2gi: same_family_basis; anchor=dio_12ve; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_13omku3,same_family_basis,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,0.0,1.0,dio_0bhg|dio_0ff9,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.213333333,0.213333333,dio_0bhg|dio_0ff9,dio_0bhg|dio_0ff9,"dio_text_13omku3: same_family_basis; anchor=dio_0bhg|dio_0ff9; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_142qoco,same_family_basis,inner_soft_variation_space,inner_soft_variation_space,0.0,1.0,dio_07t9|dio_08e1|dio_0a0v|dio_0qsr|dio_19bg|dio_1jtk,,,variant_resilient_text_island,variant_resilient_text_island,0.485658933,0.485658933,dio_07t9|dio_08e1|dio_0a0v|dio_0qsr|dio_19bg|dio_1jtk,dio_07t9|dio_08e1|dio_0a0v|dio_0qsr|dio_19bg|dio_1jtk,"dio_text_142qoco: same_family_basis; anchor=dio_07t9|dio_08e1|dio_0a0v|dio_0qsr|dio_19bg|dio_1jtk; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1434hgc,same_family_basis,inner_soft_variation_space,inner_soft_variation_space,0.0,1.0,dio_0vqe|dio_0vu0|dio_0wnz|dio_1a5x|dio_1azw|dio_1yai,,,variant_resilient_text_island,variant_resilient_text_island,0.499683133,0.499683133,dio_0vqe|dio_0vu0|dio_0wnz|dio_1a5x|dio_1azw|dio_1yai,dio_0vqe|dio_0vu0|dio_0wnz|dio_1a5x|dio_1azw|dio_1yai,"dio_text_1434hgc: same_family_basis; anchor=dio_0vqe|dio_0vu0|dio_0wnz|dio_1a5x|dio_1azw|dio_1yai; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_143un43,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_1km5|dio_1o13|dio_1tpj,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.34,0.34,dio_1km5|dio_1o13|dio_1tpj,dio_1km5|dio_1o13|dio_1tpj,"dio_text_143un43: same_family_basis; anchor=dio_1km5|dio_1o13|dio_1tpj; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_14g9aw2,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_02ju|dio_11nx|dio_1hvd,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.34,0.34,dio_02ju|dio_11nx|dio_1hvd,dio_02ju|dio_11nx|dio_1hvd,"dio_text_14g9aw2: same_family_basis; anchor=dio_02ju|dio_11nx|dio_1hvd; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_14j2cfa,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_02nj|dio_048k|dio_0nzd|dio_16qx|dio_1aog|dio_1m31,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.36,0.36,dio_02nj|dio_048k|dio_0nzd|dio_16qx|dio_1aog|dio_1m31,dio_02nj|dio_048k|dio_0nzd|dio_16qx|dio_1aog|dio_1m31,"dio_text_14j2cfa: same_family_basis; anchor=dio_02nj|dio_048k|dio_0nzd|dio_16qx|dio_1aog|dio_1m31; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_14jzt6i,new_text_island,absent,inner_unconfirmed_raw_space,0.206666667,0.0,,dio_1qt4,,absent,new_unconfirmed_text_island,0.0,0.206666667,,dio_1qt4,"dio_text_14jzt6i: new_text_island; anchor=-; added=dio_1qt4; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_14mbkh6,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_04ui|dio_0skq|dio_12ay,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.34,0.34,dio_04ui|dio_0skq|dio_12ay,dio_04ui|dio_0skq|dio_12ay,"dio_text_14mbkh6: same_family_basis; anchor=dio_04ui|dio_0skq|dio_12ay; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_153gn8y,new_text_island,absent,inner_unconfirmed_raw_space,0.206666667,0.0,,dio_1jba,,absent,new_unconfirmed_text_island,0.0,0.206666667,,dio_1jba,"dio_text_153gn8y: new_text_island; anchor=-; added=dio_1jba; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_17glilg,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_00mi|dio_0fmr|dio_0u94|dio_0vsh|dio_17pp,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.353333333,0.353333333,dio_00mi|dio_0fmr|dio_0u94|dio_0vsh|dio_17pp,dio_00mi|dio_0fmr|dio_0u94|dio_0vsh|dio_17pp,"dio_text_17glilg: same_family_basis; anchor=dio_00mi|dio_0fmr|dio_0u94|dio_0vsh|dio_17pp; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_183mg8v,same_family_basis,inner_drift_watch_space,inner_soft_variation_space,0.243333333,1.0,dio_00wl,,,new_unconfirmed_text_island,variant_resilient_text_island,0.2309072,0.474240533,dio_00wl,dio_00wl,"dio_text_183mg8v: same_family_basis; anchor=dio_00wl; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_187ucpd,same_family_basis,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,0.0,1.0,dio_1coz,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.206666667,0.206666667,dio_1coz,dio_1coz,"dio_text_187ucpd: same_family_basis; anchor=dio_1coz; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_18ku4h1,same_family_basis,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,0.0,1.0,dio_05ws,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.206666667,0.206666667,dio_05ws,dio_05ws,"dio_text_18ku4h1: same_family_basis; anchor=dio_05ws; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1920l6x,same_family_basis,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,0.0,1.0,dio_0myd|dio_1176|dio_14eh,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.22,0.22,dio_0myd|dio_1176|dio_14eh,dio_0myd|dio_1176|dio_14eh,"dio_text_1920l6x: same_family_basis; anchor=dio_0myd|dio_1176|dio_14eh; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
