contact_id,contact_lage_state,debug_root,runs,trades_total,reward_total,contact_reward_sum,direct_positive_action,observation_to_positive_action,held_observation,quiet_family,top_direct_action,top_observation_to_action
kontakt_exakt_probe8_repeat,exakte_wiederbegegnung,debug\dio_mini_sensor_relation_probe8_negativkontakt_repeat,4,12,13.834005,13.834005,3,1,3,0,"dio_14eb,dio_0wv3,dio_0eh8",dio_0szn
kontakt_nah_probe9,nahe_aehnlichkeit,debug\dio_mini_sensor_relation_probe9_aehnlichkeit,4,13,13.655328,13.65533,3,2,2,0,"dio_14eb,dio_0wv3,dio_0szn","dio_16kb,dio_1l2h"
kontakt_fern_probe10,ferne_aehnlichkeit,debug\dio_mini_sensor_relation_probe10_ferne_aehnlichkeit,4,4,4.586545,4.586544,0,3,16,1,,"dio_1tmf,dio_0y4s,dio_1gp1"
