inner_state,count,reward_sum,families
inner_carried,3,9.947715,"dio_0arw,dio_0t0v,dio_1u7v"
inner_open_observation,1,0.0,dio_14xc
inner_unfinished,2,0.0,"dio_00qb,dio_1vpi"
