phase,family,run,rows,executed,raw_trade_pressure,held_same_episode,observed_potential,reward_sum,max_trade_readiness,max_mature_transfer
order_shift,dio_00eh,37,1,1,1,0,0,-0.431148,0.072906,0.066364
order_shift,dio_00eh,39,1,0,0,0,1,0.0,0.010662,0.010662
order_shift,dio_018g,38,1,0,0,0,1,0.0,0.004547,0.004547
order_shift,dio_01yf,36,1,0,0,0,1,0.0,0.005346,0.005346
order_shift,dio_01yf,37,1,0,0,0,1,0.0,0.016301,0.016301
order_shift,dio_08wa,36,1,0,0,0,1,0.0,0.003974,0.003974
order_shift,dio_08wa,37,1,0,0,0,1,0.0,0.005443,0.005443
order_shift,dio_08wa,38,1,0,0,0,1,0.0,0.012163,0.012163
order_shift,dio_08wa,39,1,0,0,0,1,0.0,0.022227,0.022227
order_shift,dio_0d07,36,1,0,0,0,1,0.0,0.00396,0.00396
order_shift,dio_0d07,37,1,0,0,0,1,0.0,0.006525,0.006525
order_shift,dio_0f4h,36,1,1,1,0,0,2.0,0.172588,0.061115
order_shift,dio_0knp,36,1,0,0,0,1,0.0,0.00548,0.00548
order_shift,dio_0knp,38,1,0,0,0,1,0.0,0.005151,0.005151
order_shift,dio_0knp,39,1,0,0,0,1,0.0,0.005394,0.005394
order_shift,dio_0nmi,36,1,0,0,0,1,0.0,0.017049,0.017049
order_shift,dio_0nmi,37,1,1,1,0,0,2.0,0.104784,0.059966
order_shift,dio_0nvr,36,1,0,0,0,1,0.0,0.00472,0.00472
order_shift,dio_0nvr,37,1,0,0,0,1,0.0,0.005402,0.005402
order_shift,dio_121e,36,1,0,0,0,1,0.0,0.005864,0.005864
order_shift,dio_121e,37,1,0,0,0,1,0.0,0.019545,0.019545
order_shift,dio_121e,38,1,1,1,0,0,1.521206,0.060186,0.060186
order_shift,dio_121e,39,1,1,1,0,0,1.521206,0.211842,0.081719
order_shift,dio_185j,38,1,0,0,0,1,0.0,0.004154,0.004154
order_shift,dio_185j,39,1,0,0,0,1,0.0,0.010018,0.010018
order_shift,dio_1d6j,36,1,0,0,0,1,0.0,0.004034,0.004034
order_shift,dio_1d6j,37,1,0,0,0,1,0.0,0.013797,0.013797
order_shift,dio_1d6j,38,1,0,0,0,1,0.0,0.044533,0.044533
order_shift,dio_1d6j,39,1,1,1,0,0,1.143781,0.091679,0.056826
order_shift,dio_1h5i,36,1,0,0,0,1,0.0,0.004246,0.004246
order_shift,dio_1h5i,37,1,0,0,0,1,0.0,0.019734,0.019734
order_shift,dio_1h5i,38,1,1,1,0,0,1.652416,0.064142,0.060884
order_shift,dio_1i0f,36,1,0,0,0,1,0.0,0.005438,0.005438
order_shift,dio_1i0f,37,1,0,0,0,1,0.0,0.012728,0.012728
order_shift,dio_1j0n,39,1,0,0,0,1,0.0,0.004095,0.004095
order_shift,dio_1wwt,36,1,0,0,0,1,0.0,0.003894,0.003894
order_shift,dio_1wwt,37,1,0,0,0,1,0.0,0.007948,0.007948
order_shift,dio_1wwt,38,1,0,0,0,1,0.0,0.023235,0.023235
order_shift,dio_1wwt,39,1,0,0,0,1,0.0,0.04661,0.04661
order_shift_varianz,dio_03fl,40,1,0,0,0,1,0.0,0.003814,0.003814
order_shift_varianz,dio_03fl,41,1,0,0,0,1,0.0,0.00905,0.00905
order_shift_varianz,dio_03fl,42,1,0,0,0,1,0.0,0.025122,0.025122
order_shift_varianz,dio_03fl,43,1,0,1,1,1,0.0,0.049949,0.049949
order_shift_varianz,dio_066x,40,1,0,0,0,1,0.0,0.003489,0.003489
order_shift_varianz,dio_066x,42,1,0,0,0,1,0.0,0.007272,0.007272
order_shift_varianz,dio_066x,43,1,0,0,0,1,0.0,0.017901,0.017901
order_shift_varianz,dio_0iy2,40,1,0,0,0,1,0.0,0.003606,0.003606
order_shift_varianz,dio_0iy2,42,1,0,0,0,1,0.0,0.006182,0.006182
order_shift_varianz,dio_0iy2,43,1,0,0,0,1,0.0,0.01359,0.01359
order_shift_varianz,dio_0mp4,40,1,0,0,0,1,0.0,0.004609,0.004609
order_shift_varianz,dio_0q8z,40,1,0,0,0,1,0.0,0.005213,0.005213
order_shift_varianz,dio_0q8z,41,1,0,0,0,1,0.0,0.017637,0.017637
order_shift_varianz,dio_0r8e,40,1,0,0,0,1,0.0,0.004006,0.004006
order_shift_varianz,dio_151h,40,1,0,0,0,1,0.0,0.004347,0.004347
order_shift_varianz,dio_151h,41,1,0,0,0,1,0.0,0.004546,0.004546
order_shift_varianz,dio_151h,42,1,0,0,0,1,0.0,0.006886,0.006886
order_shift_varianz,dio_151h,43,1,0,0,0,1,0.0,0.010461,0.010461
order_shift_varianz,dio_1d6j,40,1,1,1,0,0,0.906071,0.239811,0.054771
order_shift_varianz,dio_1d6j,41,1,1,1,0,0,0.906071,0.387311,0.055079
order_shift_varianz,dio_1d6j,42,1,1,1,0,0,0.906071,0.4615,0.055898
order_shift_varianz,dio_1d6j,43,1,1,1,0,0,0.906071,0.523523,0.05709
order_shift_varianz,dio_1hkr,40,1,0,0,0,1,0.0,0.003734,0.003734
order_shift_varianz,dio_1hkr,41,1,0,0,0,1,0.0,0.014106,0.014106
order_shift_varianz,dio_1hkr,42,1,0,1,1,1,0.0,0.044504,0.044504
order_shift_varianz,dio_1hkr,43,1,0,1,1,1,0.0,0.091462,0.055656
order_shift_varianz,dio_1ioc,40,1,0,0,0,1,0.0,0.005904,0.005904
order_shift_varianz,dio_1ioc,41,1,0,0,0,1,0.0,0.020868,0.020868
order_shift_varianz,dio_1ioc,42,1,1,1,0,0,1.669852,0.065564,0.065564
order_shift_varianz,dio_1ioc,43,1,1,1,0,0,1.669852,0.232116,0.079776
order_shift_varianz,dio_1sxo,40,1,0,0,0,1,0.0,0.037579,0.037579
order_shift_varianz,dio_1sxo,41,1,1,1,0,0,0.993834,0.076944,0.069375
order_shift_varianz,dio_1ytj,40,1,0,0,0,1,0.0,0.003969,0.003969
order_shift_varianz,dio_1ytj,41,1,0,0,0,1,0.0,0.018264,0.018264
order_shift_varianz,dio_1ytj,42,1,0,1,1,1,0.0,0.059106,0.056572
order_shift_varianz,dio_1ytj,43,1,0,1,1,1,0.0,0.122182,0.058633
sensor_relation_probe2,dio_00t3,56,1,0,0,0,1,0.0,0.00517,0.00517
sensor_relation_probe2,dio_00t3,57,1,0,0,0,1,0.0,0.011218,0.011218
sensor_relation_probe2,dio_01nr,56,1,0,0,0,1,0.0,0.004029,0.004029
sensor_relation_probe2,dio_01nr,57,1,0,0,0,1,0.0,0.014357,0.014357
sensor_relation_probe2,dio_01ql,56,1,0,0,0,1,0.0,0.004113,0.004113
sensor_relation_probe2,dio_01ql,57,1,0,0,0,1,0.0,0.003927,0.003927
sensor_relation_probe2,dio_060l,56,1,0,0,0,1,0.0,0.0043,0.0043
sensor_relation_probe2,dio_060l,57,1,0,0,0,1,0.0,0.015727,0.015727
sensor_relation_probe2,dio_060l,58,1,0,0,0,1,0.0,0.047435,0.047435
sensor_relation_probe2,dio_060l,59,1,1,1,0,0,1.190707,0.096467,0.06317
sensor_relation_probe2,dio_0789,59,1,0,0,0,1,0.0,0.004254,0.004254
sensor_relation_probe2,dio_0nmi,56,1,1,1,0,0,1.590331,0.391038,0.0667
sensor_relation_probe2,dio_0nmi,57,1,1,1,0,0,1.590331,0.567738,0.067432
sensor_relation_probe2,dio_0nmi,58,1,1,1,0,0,1.590331,0.715588,0.069979
sensor_relation_probe2,dio_0oqk,56,1,0,0,0,1,0.0,0.004317,0.004317
