kinship_class,family_count,avg_similarity,same_action_count,same_outcome_count,families
single_to_single,8,0.968919266,8,8,"dio_0arw->dio_0ofo,dio_0fiy->dio_1d3r,dio_0igh->dio_040y,dio_0x1o->dio_0ps1,dio_143d->dio_143d,dio_14xc->dio_143d,dio_1g2t->dio_10dk,dio_1qwp->dio_1f9y"
trust_to_quiet,1,0.976794864,0,0,dio_1vpi->dio_1m4n
trust_to_single,1,0.758589638,1,1,dio_02qu->dio_0ofo
variant_to_variant,2,0.98774786,2,2,"dio_16yc->dio_1d1z,dio_1txv->dio_1c6b"
