left_family,right_family,rank,distance,similarity,left_count,right_count,left_reward_sum,right_reward_sum,left_event_reward_sum,right_event_reward_sum,left_action,right_action,left_outcome,right_outcome,left_landkarte_state,right_landkarte_state,left_reflection_state,right_reflection_state,left_state_class,right_state_class,same_state_class,same_action,same_outcome,passive_only,left_sehen_form_flow,right_sehen_form_flow,left_sehen_form_stability,right_sehen_form_stability,left_sehen_form_change,right_sehen_form_change,left_hoeren_energy_tone,right_hoeren_energy_tone,left_hoeren_energy_shift,right_hoeren_energy_shift,left_fuehlen_mcm_coherence,right_fuehlen_mcm_coherence,left_fuehlen_mcm_tension,right_fuehlen_mcm_tension,left_fuehlen_mcm_asymmetry,right_fuehlen_mcm_asymmetry,kinship_sentence
dio_02qu,dio_0ofo,1,0.318235776,0.758589638,3,1,3.0,1.0,3.0,1.0,LONG,LONG,TP,TP,inner_map_trust_stable_identical_repeat,inner_map_single_observation,reflection_trust_seed,reflection_trust_seed,trust,single,0,1,1,1,0.291659,-0.458776,0.0,0.0,0.29436,0.600656,0.053713,0.023375,0.089286,0.0,0.38496,0.393455,0.192154,0.298608,0.251832,-0.112757,dio_02qu -> dio_0ofo: sensorische/MCM-Naehe=0.758590; links=inner_map_trust_stable_identical_repeat rechts=inner_map_single_observation; Aktion=LONG->LONG.
dio_0arw,dio_0ofo,1,0.035343979,0.965862573,1,1,1.0,1.0,1.0,1.0,LONG,LONG,TP,TP,inner_map_single_observation,inner_map_single_observation,reflection_trust_seed,reflection_trust_seed,single,single,1,1,1,1,-0.447325,-0.458776,0.0,0.0,0.533785,0.600656,-0.00536,0.023375,-0.059524,0.0,0.398499,0.393455,0.275533,0.298608,-0.134298,-0.112757,dio_0arw -> dio_0ofo: sensorische/MCM-Naehe=0.965863; links=inner_map_single_observation rechts=inner_map_single_observation; Aktion=LONG->LONG.
dio_0fiy,dio_1d3r,1,0.020969007,0.979461661,1,1,-1.0,-1.0,-1.0,-1.0,LONG,LONG,SL,SL,inner_map_single_observation,inner_map_single_observation,reflection_negative_open,reflection_negative_open,single,single,1,1,1,1,-0.598073,-0.615167,0.0,0.0,-0.125696,-0.11507,0.248256,0.280834,-0.038462,-0.075758,0.330488,0.321366,0.375569,0.394732,-0.37278,-0.387262,dio_0fiy -> dio_1d3r: sensorische/MCM-Naehe=0.979462; links=inner_map_single_observation rechts=inner_map_single_observation; Aktion=LONG->LONG.
dio_0igh,dio_040y,1,0.031787356,0.969191951,1,1,0.0,0.0,0.0,0.0,WAIT,WAIT,NO_TRADE,NO_TRADE,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_quiet_observation,single,single,1,1,1,1,0.694031,0.761489,1.0,1.0,0.092729,0.107055,0.05354,0.047611,0.083799,0.104712,0.985009,0.986669,0.328817,0.356951,0.427672,0.473069,dio_0igh -> dio_040y: sensorische/MCM-Naehe=0.969192; links=inner_map_single_observation rechts=inner_map_single_observation; Aktion=WAIT->WAIT.
dio_0x1o,dio_0ps1,1,0.043378484,0.958424978,1,1,1.0,1.0,1.0,1.0,LONG,LONG,TP,TP,inner_map_single_observation,inner_map_single_observation,reflection_trust_seed,reflection_trust_seed,single,single,1,1,1,1,-0.06572,-0.032912,-1.0,-1.0,0.483265,0.520635,-0.081173,-0.112553,-0.029586,-0.136612,-0.222728,-0.231515,0.139017,0.144397,0.073263,0.079199,dio_0x1o -> dio_0ps1: sensorische/MCM-Naehe=0.958425; links=inner_map_single_observation rechts=inner_map_single_observation; Aktion=LONG->LONG.
dio_143d,dio_143d,1,0.017438126,0.982860751,1,1,0.0,0.0,0.0,0.0,WAIT,WAIT,NO_TRADE,NO_TRADE,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_quiet_observation,single,single,1,1,1,1,0.822477,0.845244,1.0,1.0,-0.169765,-0.15556,0.010545,0.023468,-0.130208,-0.100503,0.997047,0.993429,0.377032,0.389748,0.393802,0.415902,dio_143d -> dio_143d: sensorische/MCM-Naehe=0.982861; links=inner_map_single_observation rechts=inner_map_single_observation; Aktion=WAIT->WAIT.
dio_14xc,dio_143d,1,0.017438126,0.982860751,1,1,0.0,0.0,0.0,0.0,WAIT,WAIT,NO_TRADE,NO_TRADE,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_quiet_observation,single,single,1,1,1,1,0.822477,0.845244,1.0,1.0,-0.169765,-0.15556,0.010545,0.023468,-0.130208,-0.100503,0.997047,0.993429,0.377032,0.389748,0.393802,0.415902,dio_14xc -> dio_143d: sensorische/MCM-Naehe=0.982861; links=inner_map_single_observation rechts=inner_map_single_observation; Aktion=WAIT->WAIT.
dio_16yc,dio_1d1z,1,0.018587525,0.981751666,2,2,1.0,1.0,1.0,1.0,SHORT,SHORT,NO_TRADE,NO_TRADE,inner_map_shift_or_variant,inner_map_shift_or_variant,reflection_confirmation_seed,reflection_confirmation_seed,variant,variant,1,1,1,1,-0.184859,-0.17965,-1.0,-1.0,-0.499951,-0.511433,0.308365,0.337931,0.737705,0.775862,-0.286342,-0.294621,0.287146,0.299214,-0.075968,-0.068176,dio_16yc -> dio_1d1z: sensorische/MCM-Naehe=0.981752; links=inner_map_shift_or_variant rechts=inner_map_shift_or_variant; Aktion=SHORT->SHORT.
dio_1g2t,dio_10dk,1,0.068054523,0.93628179,1,1,0.0,0.0,0.0,0.0,WAIT,WAIT,NO_TRADE,NO_TRADE,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_quiet_observation,single,single,1,1,1,1,-0.40234,-0.419184,-0.333333,-0.333333,-0.251683,-0.301121,0.303705,0.369028,0.166667,0.333333,0.114963,0.096672,0.336808,0.379228,-0.252381,-0.240346,dio_1g2t -> dio_10dk: sensorische/MCM-Naehe=0.936282; links=inner_map_single_observation rechts=inner_map_single_observation; Aktion=WAIT->WAIT.
dio_1qwp,dio_1f9y,1,0.024160272,0.976409676,1,1,0.0,0.0,0.0,0.0,WAIT,WAIT,NO_TRADE,NO_TRADE,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_quiet_observation,single,single,1,1,1,1,0.846917,0.881135,1.0,1.0,0.076888,0.025694,0.093873,0.085225,0.053476,0.025381,0.973715,0.976137,0.407434,0.409982,0.503422,0.504678,dio_1qwp -> dio_1f9y: sensorische/MCM-Naehe=0.976410; links=inner_map_single_observation rechts=inner_map_single_observation; Aktion=WAIT->WAIT.
dio_1txv,dio_1c6b,1,0.006295328,0.993744055,3,3,1.0,1.0,1.0,1.0,WAIT,WAIT,NO_TRADE,NO_TRADE,inner_map_shift_or_variant,inner_map_shift_or_variant,reflection_confirmation_seed,reflection_confirmation_seed,variant,variant,1,1,1,1,0.032622,0.038108,1.0,1.0,0.065244,0.076215,0.039728,0.040115,0.133333,0.142857,0.988876,0.988768,0.040826,0.045048,0.060594,0.068203,dio_1txv -> dio_1c6b: sensorische/MCM-Naehe=0.993744; links=inner_map_shift_or_variant rechts=inner_map_shift_or_variant; Aktion=WAIT->WAIT.
