family,base_families,stage_count,visible_count,missing_count,coupled_stage_count,island_stage_count,max_coupled_degree,avg_vector_drift,max_vector_drift,inner_spacetime_state,inner_spacetime_reading,passive_only,controlled_dataset_scope,long_run_claim,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_0e02,dio_10qz|dio_114i,5,5,0,0,5,0,0.001322158,0.002500864,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0e37,dio_10qz|dio_114i,5,5,0,0,5,0,0.001316723,0.003530779,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0eeh,dio_10qz|dio_114i,5,5,0,0,5,0,0.014856969,0.046378197,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0euj,dio_10qz|dio_114i,5,2,3,0,2,0,0.001285788,0.001285788,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0ft4,dio_10qz|dio_114i,5,5,0,0,5,0,0.002551505,0.004248382,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0fu8,dio_10qz|dio_114i,5,5,0,0,5,0,0.002443245,0.004089917,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0fvx,dio_10qz|dio_114i,5,5,0,0,5,0,0.000946231,0.002144489,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0g2u,dio_10qz|dio_114i,5,5,0,0,5,0,0.05157433,0.102725914,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0g59,dio_10qz|dio_114i,5,2,3,0,2,0,0.001046047,0.001046047,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0g9z,dio_10qz|dio_114i,5,2,3,0,2,0,0.003362136,0.003362136,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0ghz,dio_10qz|dio_114i,5,5,0,0,5,0,0.000646201,0.001045524,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0gmg,dio_10qz|dio_114i,5,5,0,0,5,0,0.000382259,0.000564787,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0gmo,dio_10qz|dio_114i,5,3,2,0,3,0,0.001761859,0.001907275,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0gx0,dio_10qz|dio_114i,5,1,4,0,1,0,0.0,0.0,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0h3x,dio_10qz|dio_114i,5,1,4,0,1,0,0.0,0.0,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0h67,dio_10qz|dio_114i,5,3,2,0,3,0,0.001148245,0.001991487,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0h7l,dio_10qz|dio_114i,5,4,1,0,4,0,0.001997191,0.002521465,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0haj,dio_10qz|dio_114i,5,5,0,0,5,0,0.000562064,0.000792639,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0hl8,dio_10qz|dio_114i,5,5,0,0,5,0,0.001845201,0.006117724,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0hln,dio_10qz|dio_114i,5,5,0,0,5,0,0.001126086,0.002078828,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0hlx,dio_10qz|dio_114i,5,5,0,0,5,0,0.000527172,0.000875008,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0i4h,dio_10qz|dio_114i,5,5,0,0,5,0,0.001128914,0.003301383,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0ic6,dio_10qz|dio_114i,5,5,0,0,5,0,0.002387162,0.005339898,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0icm,dio_10qz|dio_114i,5,5,0,0,5,0,0.001848693,0.003319034,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0ink,dio_10qz|dio_114i,5,5,0,0,5,0,0.001728662,0.004216447,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0iou,dio_10qz|dio_114i,5,5,0,0,5,0,0.002101255,0.003047653,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0irs,dio_10qz|dio_114i,5,5,0,0,5,0,0.001402583,0.002453104,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0j34,dio_10qz|dio_114i,5,5,0,0,5,0,0.001839308,0.003490677,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0j8d,dio_10qz|dio_114i,5,5,0,0,5,0,0.001068007,0.001995482,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0jdy,dio_10qz|dio_114i,5,5,0,0,5,0,0.003196769,0.004706861,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0jg9,dio_10qz|dio_114i,5,5,0,0,5,0,0.000577014,0.000738764,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0jhi,dio_10qz|dio_114i,5,4,1,0,4,0,0.00038477,0.000580972,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0jhl,dio_10qz|dio_114i,5,4,1,0,4,0,0.000356839,0.00043834,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0jp7,dio_10qz|dio_114i,5,5,0,0,5,0,0.000652851,0.0007685,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0jty,dio_10qz|dio_114i,5,3,2,0,3,0,0.004658545,0.005520007,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0jvf,dio_10qz|dio_114i,5,3,2,0,3,0,0.000354867,0.000404086,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
