stage,left_family,right_family,edge_visible,meaning_similarity,sense_similarity,mcm_similarity,hearing_similarity,temporal_similarity,neuro_similarity,reflection_similarity,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
J_FOLGEKONTAKT,dio_10qz,dio_114i,True,0.999908,0.999752,0.999721,0.999876,1.0,0.999978,0.999998,True,False,False,False,False,False,False,False
J_FOLGEKONTAKT,dio_10qz,dio_1ytc,True,0.999778,0.99939,0.999793,0.997923,1.0,0.999997,0.999999,True,False,False,False,False,False,False,False
J_FOLGEKONTAKT,dio_114i,dio_1ytc,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False
