inner_core_state,count,avg_right_semantic_maturity_score,avg_score_delta,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
passive_foreign_boundary_core,99,0.337845118,0.0,True,False,False,False,False,False,False,False
passive_variation_core,19,0.7075224,0.011106309,True,False,False,False,False,False,False,False
passive_recurrence_core,5,0.506205373,0.0,True,False,False,False,False,False,False,False
