family_action,symbol_family,action,freshness_state,source_count,source_labels,run_count,episode_count,first_source,last_source,first_tick,last_tick,tick_span,phase_time_states,outcome_events,phase_active_count,avg_finite_phase_age,avg_bars_held,event_reward_sum,avg_event_reward,avg_phase_distance,avg_binding_pressure,avg_release_pressure,passive_only,influences_action,is_gate,is_motoric,time_summary_sentence
dio_04zi:WAIT,dio_04zi,WAIT,fresh_local_episode_trace,1,probe16_f3,3,3,probe16_f3,probe16_f3,5,5,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_04zi:WAIT: fresh_local_episode_trace; Quellen=probe16_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_06bd:WAIT,dio_06bd,WAIT,fresh_local_episode_trace,1,probe16_f3,3,3,probe16_f3,probe16_f3,3,3,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_06bd:WAIT: fresh_local_episode_trace; Quellen=probe16_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0cgn:WAIT,dio_0cgn,WAIT,fresh_local_episode_trace,1,probe16_f3,3,3,probe16_f3,probe16_f3,1,1,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0cgn:WAIT: fresh_local_episode_trace; Quellen=probe16_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0fa9:WAIT,dio_0fa9,WAIT,fresh_local_episode_trace,1,probe16_f3,3,3,probe16_f3,probe16_f3,2,2,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0fa9:WAIT: fresh_local_episode_trace; Quellen=probe16_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0ojr:WAIT,dio_0ojr,WAIT,fresh_local_episode_trace,1,probe16_f3,3,3,probe16_f3,probe16_f3,4,4,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0ojr:WAIT: fresh_local_episode_trace; Quellen=probe16_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0rb2:WAIT,dio_0rb2,WAIT,fresh_local_episode_trace,1,probe16_f3,3,3,probe16_f3,probe16_f3,16,16,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0rb2:WAIT: fresh_local_episode_trace; Quellen=probe16_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0vc8:WAIT,dio_0vc8,WAIT,fresh_local_episode_trace,1,probe16_f3,3,3,probe16_f3,probe16_f3,7,7,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0vc8:WAIT: fresh_local_episode_trace; Quellen=probe16_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_10kx:WAIT,dio_10kx,WAIT,fresh_local_episode_trace,1,probe16_f3,3,3,probe16_f3,probe16_f3,10,10,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_10kx:WAIT: fresh_local_episode_trace; Quellen=probe16_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1f4v:WAIT,dio_1f4v,WAIT,fresh_local_episode_trace,1,probe16_f3,3,3,probe16_f3,probe16_f3,11,11,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1f4v:WAIT: fresh_local_episode_trace; Quellen=probe16_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1g7l:WAIT,dio_1g7l,WAIT,fresh_local_episode_trace,1,probe16_f3,3,3,probe16_f3,probe16_f3,8,8,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1g7l:WAIT: fresh_local_episode_trace; Quellen=probe16_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1jo7:WAIT,dio_1jo7,WAIT,fresh_local_episode_trace,1,probe16_f3,3,3,probe16_f3,probe16_f3,17,17,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1jo7:WAIT: fresh_local_episode_trace; Quellen=probe16_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
