label,debug_root,family,family_state,dominant_action,episode_count,executed_count,reward_sum,states,actions,passive_sentence
probe19_run153,debug\dio_mini_probe19_followup_worlds\probe19_run153,dio_0arw,carried,LONG,1,1,1.384854,executed_aligned:1,LONG:1,dio_0arw: wird mit LONG getragen; Sensorik und Konsequenz liegen zusammen.
probe19_run153,debug\dio_mini_probe19_followup_worlds\probe19_run153,dio_0t0v,carried,LONG,1,1,1.036659,executed_aligned:1,LONG:1,dio_0t0v: wird mit LONG getragen; Sensorik und Konsequenz liegen zusammen.
probe19_run153,debug\dio_mini_probe19_followup_worlds\probe19_run153,dio_1u7v,carried,SHORT,1,1,0.894392,executed_aligned:1,SHORT:1,dio_1u7v: wird mit SHORT getragen; Sensorik und Konsequenz liegen zusammen.
probe19_run153,debug\dio_mini_probe19_followup_worlds\probe19_run153,dio_00qb,held,WAIT,1,0,0.0,held_trade_pressure:1,WAIT:1,"dio_00qb: erzeugt Handelsspannung, bleibt aber gehalten."
probe19_run153,debug\dio_mini_probe19_followup_worlds\probe19_run153,dio_14xc,observed,WAIT,1,0,0.0,observed_trade_potential:1,WAIT:1,"dio_14xc: wird gesehen, bleibt als Potenzial ohne Handlung."
probe19_run153,debug\dio_mini_probe19_followup_worlds\probe19_run153,dio_1vpi,held,WAIT,1,0,0.0,held_trade_pressure:1,WAIT:1,"dio_1vpi: erzeugt Handelsspannung, bleibt aber gehalten."
probe19_run154,debug\dio_mini_probe19_followup_worlds\probe19_run154,dio_0arw,carried,LONG,1,1,1.384854,executed_aligned:1,LONG:1,dio_0arw: wird mit LONG getragen; Sensorik und Konsequenz liegen zusammen.
probe19_run154,debug\dio_mini_probe19_followup_worlds\probe19_run154,dio_0t0v,carried,LONG,1,1,1.036659,executed_aligned:1,LONG:1,dio_0t0v: wird mit LONG getragen; Sensorik und Konsequenz liegen zusammen.
probe19_run154,debug\dio_mini_probe19_followup_worlds\probe19_run154,dio_1u7v,carried,SHORT,1,1,0.894392,executed_aligned:1,SHORT:1,dio_1u7v: wird mit SHORT getragen; Sensorik und Konsequenz liegen zusammen.
probe19_run154,debug\dio_mini_probe19_followup_worlds\probe19_run154,dio_00qb,held,WAIT,1,0,0.0,held_trade_pressure:1,WAIT:1,"dio_00qb: erzeugt Handelsspannung, bleibt aber gehalten."
probe19_run154,debug\dio_mini_probe19_followup_worlds\probe19_run154,dio_14xc,observed,WAIT,1,0,0.0,observed_trade_potential:1,WAIT:1,"dio_14xc: wird gesehen, bleibt als Potenzial ohne Handlung."
probe19_run154,debug\dio_mini_probe19_followup_worlds\probe19_run154,dio_1vpi,held,WAIT,1,0,0.0,held_trade_pressure:1,WAIT:1,"dio_1vpi: erzeugt Handelsspannung, bleibt aber gehalten."
probe19_run155,debug\dio_mini_probe19_followup_worlds\probe19_run155,dio_0arw,carried,LONG,1,1,1.384854,executed_aligned:1,LONG:1,dio_0arw: wird mit LONG getragen; Sensorik und Konsequenz liegen zusammen.
probe19_run155,debug\dio_mini_probe19_followup_worlds\probe19_run155,dio_0t0v,carried,LONG,1,1,1.036659,executed_aligned:1,LONG:1,dio_0t0v: wird mit LONG getragen; Sensorik und Konsequenz liegen zusammen.
probe19_run155,debug\dio_mini_probe19_followup_worlds\probe19_run155,dio_1u7v,carried,SHORT,1,1,0.894392,executed_aligned:1,SHORT:1,dio_1u7v: wird mit SHORT getragen; Sensorik und Konsequenz liegen zusammen.
probe19_run155,debug\dio_mini_probe19_followup_worlds\probe19_run155,dio_00qb,held,WAIT,1,0,0.0,held_trade_pressure:1,WAIT:1,"dio_00qb: erzeugt Handelsspannung, bleibt aber gehalten."
probe19_run155,debug\dio_mini_probe19_followup_worlds\probe19_run155,dio_14xc,observed,WAIT,1,0,0.0,observed_trade_potential:1,WAIT:1,"dio_14xc: wird gesehen, bleibt als Potenzial ohne Handlung."
probe19_run155,debug\dio_mini_probe19_followup_worlds\probe19_run155,dio_1vpi,held,WAIT,1,0,0.0,held_trade_pressure:1,WAIT:1,"dio_1vpi: erzeugt Handelsspannung, bleibt aber gehalten."
