run,tick,symbol_family,action,raw_action,best_action_training,binding_state,binding_quality,episode_relation,phase_active,phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,score_wait,score_long,score_short,reward,best_reward_training,unrealized_best_reward,held_impulse_potential
129,1,dio_0c6o,LONG,LONG,LONG,executed_aligned,executed_contact_confirmed,none,0,9999,1.0,0.0,1.0,0.036275,0.440649,-0.057028,1.148164,1.148164,0.0,0.0
129,6,dio_0hd3,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,different_contact,0,5,0.236379,0.0,1.0,0.034633,-0.061014,0.557068,1.459285,1.459285,0.0,0.0
129,11,dio_0avw,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,different_contact,0,5,0.369591,0.0,1.0,0.0518,-0.06898,0.009354,0.0,0.244014,0.244014,0.0
129,12,dio_0jco,WAIT,SHORT,SHORT,held_useful_impulse,episode_binding_overholding,same_episode,1,6,0.558146,0.373453,0.212258,0.053633,-0.066773,0.117654,0.0,0.733987,0.733987,0.733987
129,13,dio_1g18,WAIT,SHORT,SHORT,held_useful_impulse,episode_binding_overholding,same_episode,1,7,0.686595,0.289057,0.259583,0.05665,-0.067417,0.133228,0.0,0.796759,0.796759,0.796759
129,14,dio_1wie,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,none,0,8,0.376915,0.0,1.0,0.048976,-0.061825,0.234728,0.794658,0.794658,0.0,0.0
130,1,dio_0c6o,LONG,LONG,LONG,executed_aligned,executed_contact_confirmed,none,0,9999,1.0,0.0,1.0,0.027845,0.638289,-0.056578,1.148164,1.148164,0.0,0.0
130,6,dio_0hd3,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,different_contact,0,5,0.236379,0.0,1.0,0.023917,-0.060765,0.808362,1.459285,1.459285,0.0,0.0
130,11,dio_0avw,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,different_contact,0,5,0.369591,0.0,1.0,0.051088,-0.068754,0.032658,0.0,0.244014,0.244014,0.0
130,12,dio_0jco,WAIT,SHORT,SHORT,held_useful_impulse,episode_binding_overholding,same_episode,1,6,0.558146,0.373453,0.257869,0.051506,-0.066663,0.180684,0.0,0.733987,0.733987,0.733987
130,13,dio_1g18,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,new_contact,0,7,0.686595,0.289057,0.309063,0.054341,-0.067305,0.201605,0.796759,0.796759,0.0,0.0
130,18,dio_1vp3,WAIT,WAIT,LONG,observed_not_bound,observation_potential,different_contact,0,5,0.494482,0.0,1.0,0.059169,-0.047416,-0.07426,0.0,0.163713,0.163713,0.0
131,1,dio_0c6o,LONG,LONG,LONG,executed_aligned,executed_contact_confirmed,none,0,9999,1.0,0.0,1.0,0.023726,0.845323,-0.056159,1.148164,1.148164,0.0,0.0
131,6,dio_0hd3,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,different_contact,0,5,0.236379,0.0,1.0,0.01868,-0.060647,1.071558,1.459285,1.459285,0.0,0.0
131,11,dio_0avw,WAIT,SHORT,SHORT,held_useful_impulse,episode_binding_overholding,same_episode,1,5,0.369591,0.602552,0.111998,0.050767,-0.068644,0.052368,0.0,0.244014,0.244014,0.244014
131,12,dio_0jco,WAIT,SHORT,SHORT,held_useful_impulse,episode_binding_overholding,same_episode,1,6,0.558146,0.373453,0.297946,0.050548,-0.066603,0.23698,0.0,0.733987,0.733987,0.733987
131,13,dio_1g18,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,new_contact,0,7,0.686595,0.289057,0.422285,0.050065,-0.06725,0.359075,0.796759,0.796759,0.0,0.0
131,18,dio_1vp3,WAIT,WAIT,LONG,observed_not_bound,observation_potential,different_contact,0,5,0.494482,0.0,1.0,0.058865,-0.032462,-0.0741,0.0,0.163713,0.163713,0.0
132,1,dio_0c6o,LONG,LONG,LONG,executed_aligned,executed_contact_confirmed,none,0,9999,1.0,0.0,1.0,0.020281,0.998105,-0.055951,1.148164,1.148164,0.0,0.0
132,6,dio_0hd3,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,different_contact,0,5,0.236379,0.0,1.0,0.014301,-0.060545,1.265772,1.459285,1.459285,0.0,0.0
132,11,dio_0avw,WAIT,SHORT,SHORT,held_useful_impulse,episode_binding_overholding,same_episode,1,5,0.369591,0.602552,0.122844,0.050477,-0.068546,0.067572,0.0,0.244014,0.244014,0.244014
132,12,dio_0jco,WAIT,SHORT,SHORT,held_useful_impulse,episode_binding_overholding,same_episode,1,6,0.558146,0.373453,0.326069,0.049679,-0.066546,0.276285,0.0,0.733987,0.733987,0.733987
132,13,dio_1g18,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,new_contact,0,7,0.686595,0.289057,0.518304,0.046493,-0.0672,0.492671,0.796759,0.796759,0.0,0.0
132,18,dio_1vp3,WAIT,WAIT,LONG,observed_not_bound,observation_potential,different_contact,0,5,0.494482,0.0,1.0,0.058469,-0.014821,-0.073959,0.0,0.163713,0.163713,0.0
