binding_state,count,reward_sum,best_reward_sum,unrealized_best_reward_sum,held_impulse_potential_sum,avg_reward,qualities,families
executed_aligned,12,13.614731,13.614731,0.0,0.0,1.134561,executed_contact_confirmed,"dio_0c6o,dio_0hd3,dio_1g18,dio_1wie"
held_useful_impulse,7,0.0,4.220735,4.220735,4.220735,0.0,episode_binding_overholding,"dio_0avw,dio_0jco,dio_1g18"
observed_not_bound,5,0.0,0.979167,0.979167,0.0,0.0,observation_potential,"dio_0avw,dio_1vp3"
