inner_map_transition_state,count,avg_score_delta,avg_stability_delta,avg_variation_delta,avg_drift_delta,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
new_in_right_inner_map,232,0.207011495,0.55,0.082804598,0.0,True,False,False,False,False,False,False,False
missing_in_right_inner_map,209,-0.483716108,-0.775,-0.193486443,0.0,True,False,False,False,False,False,False,False
inner_state_softened,56,-0.276666666,-0.225,-0.110666666,0.0,True,False,False,False,False,False,False,False
