reference_family,family,contrast_group,trace_state,profile_distance,carry_ratio_gap,sensory_distance_gap,mcm_coherence_gap,mcm_tension_gap,mcm_asymmetry_gap,lived_support_drop_gap,neuro_tone_reorganizes_gap,text_island_same,contrast_reading,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_11vr,dio_0ocv,single_probe_carried_trace,trace_fully_carried,0.004896624,0.0,0.00398828,0.001453,0.001511,-0.000448,0,0,True,weak_carried_like_reference_needs_more_world_contact,True,False,False,False,False,False,False,False
dio_11vr,dio_1fck,single_probe_carried_trace,trace_fully_carried,0.009106366,0.0,0.004139832,0.00115,-0.007391,-0.003048,0,0,True,weak_carried_like_reference_needs_more_world_contact,True,False,False,False,False,False,False,False
dio_11vr,dio_0rwa,single_probe_carried_trace,trace_fully_carried,0.009718161,0.0,0.007293326,0.000436,-0.000524,-0.006807,0,0,True,weak_carried_like_reference_needs_more_world_contact,True,False,False,False,False,False,False,False
dio_11vr,dio_1ndv,single_probe_carried_trace,trace_fully_carried,0.015617335,0.0,0.010741669,2.9e-05,0.000121,-0.013898,0,0,True,weak_carried_like_reference_needs_more_world_contact,True,False,False,False,False,False,False,False
dio_11vr,dio_19b6,single_probe_carried_trace,trace_fully_carried,0.017483227,0.0,0.010007784,0.001496,-0.00629,-0.011168,0,0,True,weak_carried_like_reference_needs_more_world_contact,True,False,False,False,False,False,False,False
dio_11vr,dio_0bde,single_probe_carried_trace,trace_fully_carried,0.018334446,0.0,0.010637433,0.006001,-0.00555,0.008098,0,0,True,weak_carried_like_reference_needs_more_world_contact,True,False,False,False,False,False,False,False
dio_11vr,dio_0jx1,single_probe_carried_trace,trace_fully_carried,0.202845257,0.0,-0.000457821,0.000517,-0.003506,-0.000935,0,0,False,weak_carried_like_reference_needs_more_world_contact,True,False,False,False,False,False,False,False
dio_11vr,dio_0v3a,immediate_or_continuous_kipp_trace,trace_immediate_or_continuous_kipp,1.005335823,1.0,0.004976029,0.000538,-0.001777,0.000395,0,0,True,less_carried_by_missing_tragedauer,True,False,False,False,False,False,False,False
dio_11vr,dio_0xkp,immediate_or_continuous_kipp_trace,trace_immediate_or_continuous_kipp,1.005364702,1.0,0.001570253,-0.002067,0.002141,-0.004009,0,0,True,less_carried_by_missing_tragedauer,True,False,False,False,False,False,False,False
dio_11vr,dio_1ocs,immediate_or_continuous_kipp_trace,trace_immediate_or_continuous_kipp,1.005825322,1.0,0.000959777,-0.002335,0.000178,-0.007602,0,0,True,less_carried_by_missing_tragedauer,True,False,False,False,False,False,False,False
dio_11vr,dio_0nrp,immediate_or_continuous_kipp_trace,trace_immediate_or_continuous_kipp,1.020575042,1.0,0.009670053,-0.004265,0.012797,-0.008616,0,0,True,less_carried_by_missing_tragedauer,True,False,False,False,False,False,False,False
dio_11vr,dio_1ytc,immediate_or_continuous_kipp_trace,trace_immediate_or_continuous_kipp,1.025939411,1.0,0.021496139,-0.006342,0.009714,-0.001429,0,0,True,less_carried_by_missing_tragedauer,True,False,False,False,False,False,False,False
dio_11vr,dio_1t9x,immediate_or_continuous_kipp_trace,trace_immediate_or_continuous_kipp,1.025964747,1.0,0.009953434,0.004299,-0.006869,-0.024836,0,0,True,less_carried_by_missing_tragedauer,True,False,False,False,False,False,False,False
dio_11vr,dio_1ull,kipps_then_recarries_trace,trace_kipps_then_recarries,1.208887902,0.5,0.001034877,0.003052,-0.006767,-0.006301,0,1,True,less_carried_by_neuro_tone,True,False,False,False,False,False,False,False
dio_11vr,dio_1si6,kipps_then_recarries_trace,trace_kipps_then_recarries,1.221492762,0.5,0.018613453,0.011606,-0.000646,-0.000952,0,1,True,less_carried_by_neuro_tone,True,False,False,False,False,False,False,False
dio_11vr,dio_1fz7,carries_then_kipps_trace,trace_carries_then_kipps,1.222484332,0.5,0.010147915,0.000443,-0.011143,-0.017146,0,1,True,less_carried_by_neuro_tone,True,False,False,False,False,False,False,False
dio_11vr,dio_07t9,carries_then_kipps_trace,trace_carries_then_kipps,1.247920594,0.5,0.015060742,-0.00522,0.029632,-0.036892,0,1,True,less_carried_by_neuro_tone,True,False,False,False,False,False,False,False
dio_11vr,dio_0p12,carries_then_kipps_trace,trace_carries_then_kipps,1.415324216,0.5,0.00884027,-0.002779,0.01226,-0.001465,0,1,False,less_carried_by_neuro_tone,True,False,False,False,False,False,False,False
dio_11vr,dio_140n,immediate_or_continuous_kipp_trace,trace_immediate_or_continuous_kipp,1.708190373,1.0,0.003277341,-0.003008,-0.001096,0.007033,1,0,True,less_carried_by_lived_support,True,False,False,False,False,False,False,False
dio_11vr,dio_15lu,immediate_or_continuous_kipp_trace,trace_immediate_or_continuous_kipp,1.711381908,1.0,0.00436301,0.000499,-0.008472,-0.006812,1,0,True,less_carried_by_lived_support,True,False,False,False,False,False,False,False
