stability_kind,inner_state,contact_quality,count,reward_sum,best_reward_sum,avg_reward,families,actions
stable_state,inner_unknown,positive_real_contact,3,2.455651,2.455651,0.81855,"dio_0120,dio_0bmh,dio_0ems",LONG
stable_state,inner_carried,positive_real_contact,1,1.384854,1.384854,1.384854,dio_0arw,LONG
stable_state,inner_unknown,observed_potential,15,0.0,7.916502,0.0,"dio_00qb,dio_0120,dio_0bmh,dio_0ems,dio_0fiy,dio_0igh,dio_1g2t,dio_1qwp",WAIT
start_state,inner_carried,positive_real_contact,1,0.894392,0.894392,0.894392,dio_1u7v,SHORT
start_state,inner_carried,observed_potential,3,0.0,2.683176,0.0,dio_1u7v,WAIT
transition_state,inner_carried,observed_potential,2,0.0,2.769708,0.0,dio_0arw,WAIT
transition_state,inner_open_observation,observed_potential,3,0.0,0.283545,0.0,dio_14xc,WAIT
transition_state,inner_unknown,observed_potential,8,0.0,4.806848,0.0,"dio_02qu,dio_0x1o,dio_16yc",WAIT
transition_state,inner_cautious,negative_real_contact,3,-1.027449,0.427449,-0.342483,dio_1vpi,SHORT
transition_state,inner_carried,negative_real_contact,1,-1.236659,1.036659,-1.236659,dio_0t0v,SHORT
