transition,left_text_island_count,right_text_island_count,shared_text_island_count,new_text_island_count,lost_text_island_count,shared_ratio_left,shared_ratio_right,new_ratio_right,lost_ratio_left,avg_shared_semantic_maturity_delta,avg_shared_stability_pressure_delta,avg_shared_variation_bearing_delta,avg_shared_drift_pressure_delta,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
C->D,170,179,170,9,0,1.0,0.94972067,0.05027933,0.0,0.01763453,0.002067996,0.03234793,0.005392157,True,False,False,False,False,False,False,False
D->E,179,233,179,54,0,1.0,0.768240343,0.231759657,0.0,0.016411419,0.007048667,0.029637193,0.014112796,True,False,False,False,False,False,False,False
E->F,233,315,233,82,0,1.0,0.73968254,0.26031746,0.0,0.038179182,0.015665318,0.045060146,0.029240752,True,False,False,False,False,False,False,False
