maturation_state,family_count,row_count,reward_sum,event_reward_sum,families,bindings,outcomes
maturation_quiet_observation,8,24,0.0,0.0,"dio_0rb2,dio_0vc8,dio_1g7l,dio_1jo7,dio_1q9b,dio_1qig,dio_1t73,dio_1w4m",multisensory_quiet_observation,NO_TRADE
maturation_stable_conflicted_burden,2,6,-6.0,-6.0,"dio_0c6o,dio_1k0r",multisensory_conflicted_burden,SL
