run,tick,timestamp_ms,symbol_family,maturation_state,moment_state,binding_state,inner_state,contact_state,action,outcome_event,sight_state,hearing_state,feeling_state,reward,event_reward,maturation_reward_sum,timeline_sentence,passive_only
153,1,1767490300000000,dio_0c6o,maturation_stable_conflicted_burden,moment_conflicted_burden,multisensory_conflicted_burden,inner_consequence_conflicted,real_contact_burdened,LONG,SL,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,-1.0,-1.0,-3.0,dio_0c6o: run=153 tick=1; moment_conflicted_burden; Reife=maturation_stable_conflicted_burden; Bindung=multisensory_conflicted_burden; Aktion=LONG; reward=-1.000000.,1
153,6,1767491800000000,dio_1qig,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_1qig: run=153 tick=6; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
153,7,1767492100000000,dio_0vc8,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_dunkle_spannung,fuehlen_hohe_spannung,0.0,0.0,0.0,dio_0vc8: run=153 tick=7; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
153,8,1767492400000000,dio_1g7l,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_dunkle_spannung,fuehlen_inkoharent,0.0,0.0,0.0,dio_1g7l: run=153 tick=8; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
153,9,1767492700000000,dio_1k0r,maturation_stable_conflicted_burden,moment_conflicted_burden,multisensory_conflicted_burden,inner_consequence_conflicted,real_contact_burdened,LONG,SL,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,-1.0,-1.0,-3.0,dio_1k0r: run=153 tick=9; moment_conflicted_burden; Reife=maturation_stable_conflicted_burden; Bindung=multisensory_conflicted_burden; Aktion=LONG; reward=-1.000000.,1
153,14,1767494200000000,dio_1t73,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_teilform,hoeren_dunkle_spannung,fuehlen_offen,0.0,0.0,0.0,dio_1t73: run=153 tick=14; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
153,15,1767494500000000,dio_1q9b,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_inkoharent,0.0,0.0,0.0,dio_1q9b: run=153 tick=15; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
153,16,1767494800000000,dio_0rb2,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_inkoharent,0.0,0.0,0.0,dio_0rb2: run=153 tick=16; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
153,17,1767495100000000,dio_1jo7,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_helle_spannung,fuehlen_inkoharent,0.0,0.0,0.0,dio_1jo7: run=153 tick=17; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
153,18,1767495400000000,dio_1w4m,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_teilform,hoeren_helle_spannung,fuehlen_offen,0.0,0.0,0.0,dio_1w4m: run=153 tick=18; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
154,1,1767490300000000,dio_0c6o,maturation_stable_conflicted_burden,moment_conflicted_burden,multisensory_conflicted_burden,inner_consequence_conflicted,real_contact_burdened,LONG,SL,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,-1.0,-1.0,-3.0,dio_0c6o: run=154 tick=1; moment_conflicted_burden; Reife=maturation_stable_conflicted_burden; Bindung=multisensory_conflicted_burden; Aktion=LONG; reward=-1.000000.,1
