stage_index,stage_label,family,visible,attached_base_families,coupled_degree,island_count,vector_drift_from_previous_visible,episode_count,dominant_neuro_tone,dominant_temporal_state,passive_only,controlled_dataset_scope,long_run_claim,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
0,L,dio_10qz,True,dio_114i,1,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_10qz,True,dio_114i,1,1,0.001647332,4,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_10qz,True,dio_114i,1,1,0.00111873,4,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_10qz,True,dio_114i,1,1,0.000624155,4,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_114i,True,dio_10qz,1,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_114i,True,dio_10qz,1,1,0.002346734,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_114i,True,dio_10qz,1,1,0.002437762,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_114i,True,dio_10qz,1,1,0.000361448,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_1ytc,True,dio_10qz,1,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_1ytc,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
2,N,dio_1ytc,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
3,O,dio_1ytc,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
0,L,dio_0325,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_0325,True,-,0,1,0.002429259,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_0325,True,-,0,1,0.00238109,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_0325,True,-,0,1,0.000101089,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
