phase,phase_run,global_run,data_path,candles,episodes,trades,long_trades,short_trades,waits,total_reward,avg_reward,unique_symbols,avg_trade_readiness,max_trade_readiness,avg_associative_trade,max_associative_trade,avg_maturity_gap,max_maturity_gap,avg_mature_transfer,max_mature_transfer,observation_learning_events,avg_observation_learning_pressure,max_observation_learning_pressure,top_long_family,top_long_trust,top_short_family,top_short_trust
referenz,1,1,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,12,0,0,0,12,0.0,0.0,12,0.000605,0.000933,0.008648,0.013333,0.008042,0.0124,0.000605,0.000933,10,0.008816,0.012727,dio_0byw,0.08,dio_0zlr,0.04919579029428961
referenz,2,2,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,12,0,0,0,12,0.0,0.0,12,0.013779,0.017987,0.013784,0.022275,0.002661,0.014626,0.011123,0.017,11,0.005785,0.012145,dio_0byw,0.15360000000000001,dio_0zlr,0.09445591736503606
referenz,3,3,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,5,2,1,1,3,3.758544,0.751709,5,0.04046,0.066501,0.027949,0.03162,0.005617,0.028083,0.022332,0.03162,2,0.009162,0.009457,dio_0byw,0.4087413226613301,dio_14zx,0.3790548238623836
referenz,4,4,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.686201,0.67155,4,0.081581,0.263805,0.045185,0.052435,0.019598,0.039622,0.025587,0.052435,1,0.040666,0.040666,dio_0byw,0.628162860150074,dio_14zx,0.3790548238623836
referenz,5,5,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.686201,0.67155,4,0.17631,0.534784,0.063704,0.09004,0.019625,0.056561,0.04408,0.09004,1,0.027793,0.027793,dio_0byw,0.8168653823903939,dio_14zx,0.3790548238623836
referenz,6,6,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.686201,0.67155,4,0.296785,0.860044,0.090055,0.138095,0.019437,0.077748,0.070618,0.138095,1,0.016741,0.016741,dio_0byw,0.9791495515170688,dio_14zx,0.3790548238623836
varianz,1,7,data\kontrolliert_varianz_2episoden_5m_SOLUSDT.csv,18,12,0,0,0,12,0.0,0.0,12,0.00514,0.013454,0.073432,0.192193,0.068291,0.17874,0.00514,0.013454,12,0.07009,0.183448,dio_0byw,0.9791495515170688,dio_14zx,0.3790548238623836
varianz,2,8,data\kontrolliert_varianz_2episoden_5m_SOLUSDT.csv,18,12,0,0,0,12,0.0,0.0,12,0.014519,0.020925,0.053159,0.105998,0.03864,0.09021,0.014519,0.020925,12,0.043722,0.095736,dio_0byw,0.9791495515170688,dio_14zx,0.3790548238623836
varianz,3,9,data\kontrolliert_varianz_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.901354,0.725339,4,0.040695,0.054781,0.071281,0.113325,0.031904,0.058544,0.039377,0.054781,2,0.043916,0.049207,dio_0byw,0.9791495515170688,dio_14zx,0.3790548238623836
varianz,4,10,data\kontrolliert_varianz_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.425854,0.606463,4,0.086889,0.201959,0.081911,0.117038,0.016252,0.030347,0.065659,0.117038,2,0.039224,0.04002,dio_0byw,0.9791495515170688,dio_0n4c,0.47447156587200845
rauschen,1,11,data\kontrolliert_rauschen_2episoden_5m_SOLUSDT.csv,22,16,0,0,0,16,0.0,0.0,16,0.004427,0.008423,0.063248,0.120335,0.058821,0.111912,0.004427,0.008423,16,0.060371,0.11486,dio_0byw,0.9791495515170688,dio_0n4c,0.47447156587200845
rauschen,2,12,data\kontrolliert_rauschen_2episoden_5m_SOLUSDT.csv,22,16,0,0,0,16,0.0,0.0,16,0.010319,0.020145,0.047374,0.068578,0.037055,0.051676,0.010319,0.020145,16,0.040667,0.056996,dio_0byw,0.9791495515170688,dio_0n4c,0.47447156587200845
rauschen,3,13,data\kontrolliert_rauschen_2episoden_5m_SOLUSDT.csv,22,9,2,1,1,7,3.084839,0.34276,9,0.022935,0.061152,0.050343,0.07276,0.027892,0.049428,0.022451,0.061152,7,0.038714,0.053505,dio_0byw,0.9791495515170688,dio_0n4c,0.47447156587200845
rauschen,4,14,data\kontrolliert_rauschen_2episoden_5m_SOLUSDT.csv,22,8,2,1,1,6,2.455283,0.30691,8,0.049391,0.224826,0.056252,0.077333,0.026355,0.044388,0.029897,0.077333,6,0.041192,0.051519,dio_0byw,0.9791495515170688,dio_1r0h,0.5288318784500498
