symbol_family,evidence_state,candidate_only,validation_source_count,validation_sources_seen,validation_sources_withheld,validation_observation_count,validation_withheld_best_trade_count,validation_best_actions,emergence_readings,note_states,stable_fields,passive_only,writes_runtime_memory,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_0x52,repeated_passive_emergence_candidate,True,4,probe10_11|probe20|probe21|probe7_9,probe10_11|probe20|probe21|probe7_9,12,12,LONG|SHORT,emergence_candidate_form_field_without_direction,,fuehlen_mcm_coherence|sehen_form_stability,True,False,False,False,False,False,False
dio_0eh8,passive_stable_direction_candidate,True,1,probe7_9,probe7_9,4,4,SHORT,stable_form_field_direction_candidate,,fuehlen_mcm_coherence|fuehlen_mcm_tension|sehen_form_stability,True,False,False,False,False,False,False
dio_0g0p,passive_validation_seen,False,1,probe7_9,probe7_9,4,4,LONG,,,,True,False,False,False,False,False,False
dio_0gtz,passive_validation_seen,False,1,probe7_9,probe7_9,4,4,SHORT,,,,True,False,False,False,False,False,False
dio_0qze,passive_stable_direction_candidate,True,1,probe7_9,probe7_9,4,4,LONG,stable_form_field_direction_candidate,,fuehlen_mcm_coherence|fuehlen_mcm_tension|sehen_form_stability,True,False,False,False,False,False,False
dio_0szn,passive_stable_direction_candidate,True,1,probe7_9,probe7_9,4,4,SHORT,stable_form_field_direction_candidate,,fuehlen_mcm_coherence|sehen_form_stability,True,False,False,False,False,False,False
dio_0t0v,passive_validation_seen,False,1,probe10_11,probe10_11,2,2,SHORT,,,,True,False,False,False,False,False,False
dio_0u8u,passive_validation_seen,False,1,probe7_9,probe7_9,4,4,SHORT,,,,True,False,False,False,False,False,False
dio_0y8w,passive_validation_seen,False,1,probe7_9,probe7_9,2,2,LONG,,,,True,False,False,False,False,False,False
dio_1361,passive_validation_seen,False,1,probe7_9,probe7_9,4,4,LONG,,,,True,False,False,False,False,False,False
dio_14eb,passive_validation_seen,False,1,probe7_9,probe7_9,4,4,SHORT,,,,True,False,False,False,False,False,False
dio_14i8,passive_validation_seen,False,1,probe7_9,probe7_9,4,4,SHORT,,,,True,False,False,False,False,False,False
dio_1ayy,passive_validation_seen,False,1,probe7_9,probe7_9,4,4,LONG,,,,True,False,False,False,False,False,False
dio_1t1w,passive_validation_seen,False,1,probe21,probe21,2,2,LONG,,,,True,False,False,False,False,False,False
dio_00qb,not_seen_in_validation,False,0,,,0,0,,,,,True,False,False,False,False,False,False
dio_0120,not_seen_in_validation,True,0,,,0,0,,,,,True,False,False,False,False,False,False
dio_02qu,not_seen_in_validation,False,0,,,0,0,,,,,True,False,False,False,False,False,False
dio_040y,not_seen_in_validation,False,0,,,0,0,,,,,True,False,False,False,False,False,False
dio_04z7,not_seen_in_validation,False,0,,,0,0,,,,,True,False,False,False,False,False,False
dio_04zi,not_seen_in_validation,False,0,,,0,0,,,,,True,False,False,False,False,False,False
dio_05s4,not_seen_in_validation,False,0,,,0,0,,,,,True,False,False,False,False,False,False
dio_06bd,not_seen_in_validation,False,0,,,0,0,,,,,True,False,False,False,False,False,False
dio_07rf,not_seen_in_validation,True,0,,,0,0,,,,,True,False,False,False,False,False,False
dio_0989,not_seen_in_validation,False,0,,,0,0,,,,,True,False,False,False,False,False,False
dio_0akd,not_seen_in_validation,True,0,,,0,0,,,,,True,False,False,False,False,False,False
dio_0arw,not_seen_in_validation,False,0,,,0,0,,,,,True,False,False,False,False,False,False
dio_0avw,not_seen_in_validation,False,0,,,0,0,,,,,True,False,False,False,False,False,False
dio_0b66,not_seen_in_validation,False,0,,,0,0,,,,,True,False,False,False,False,False,False
dio_0be3,not_seen_in_validation,False,0,,,0,0,,,,,True,False,False,False,False,False,False
