family,local_action,local_confirmation,state,confirmation_label,runs,rows,executed_long,executed_short,best_long,best_short,reward_sum,observation_learning_events,avg_observation_pressure,best_support_family,best_support_action,best_support_score,support_matches_local,best_conflict_family,best_conflict_actions,best_conflict_score
dio_0byw,LONG,0.82,locally_confirmed,executed_local_confirmation,"19,20,21,22",4,4,0,4,0,4.407692,0,0.0,dio_052z,LONG,1.18744,1,dio_0n4c,LONG/SHORT,1.321475
dio_0b0d,SHORT,0.82,locally_confirmed,executed_local_confirmation,"19,20",2,0,2,0,2,3.297658,0,0.0,dio_074d,SHORT,0.870699,1,dio_1uez,SHORT/LONG,0.787595
dio_1mc3,SHORT,0.442898,locally_confirmed,executed_local_confirmation,"19,20,21",3,0,1,0,3,1.378998,2,0.032902,dio_0i5m,SHORT,0.921049,1,dio_01nf,SHORT/LONG,0.789064
dio_05z6,SHORT,0.370877,locally_confirmed,executed_local_confirmation,"19,20,21,22",4,0,1,0,4,0.90105,3,0.033979,dio_0zlr,SHORT,0.930504,1,dio_1uez,SHORT/LONG,0.596611
dio_19qg,SHORT,0.228228,observed_related,observed_related_potential,22,1,0,0,0,1,0.0,1,0.04571,dio_0av4,SHORT,0.98805,1,dio_07mf,SHORT/LONG,0.655677
dio_01xf,LONG,0.227971,observed_related,observed_related_potential,"21,22",2,0,0,2,0,0.0,2,0.044283,dio_1mml,LONG,0.994884,1,dio_18iw,LONG/SHORT,0.755657
dio_0jqv,SHORT,0.22727,observed_related,observed_related_potential,"21,22",2,0,0,0,2,0.0,2,0.040388,dio_0309,SHORT,0.930662,1,dio_1j78,SHORT/LONG,0.943233
dio_074d,SHORT,0.227126,observed_related,observed_related_potential,"19,20",2,0,0,0,2,0.0,2,0.039591,dio_0b0d,SHORT,0.870699,1,dio_1uez,SHORT/LONG,0.914925
dio_00eh,SHORT,0.226231,observed_related,observed_related_potential,"19,20,21,22",4,0,0,0,4,0.0,4,0.034616,dio_0rh0,SHORT,0.984568,1,dio_1ieq,SHORT/LONG,0.763619
dio_0v36,SHORT,0.225189,observed_related,observed_related_potential,"19,20",2,0,0,0,2,0.0,2,0.028828,dio_0nv8,SHORT,0.98703,1,dio_01nf,SHORT/LONG,0.928161
dio_1hkr,-,0.0,local_only,unconfirmed,"19,20,21,22",4,0,0,0,0,0.0,0,0.0,-,-,0.0,0,-,-,0.0
dio_1h37,-,0.0,local_only,unconfirmed,"21,22",2,0,0,0,0,0.0,0,0.0,-,-,0.0,0,-,-,0.0
