inner_landkarte_state,family_count,row_count,reward_sum,identical_repeat_families,families
inner_map_shift_or_variant,2,5,2.0,0,"dio_16yc,dio_1txv"
inner_map_single_observation,8,8,1.0,0,"dio_0arw,dio_0fiy,dio_0igh,dio_0x1o,dio_143d,dio_14xc,dio_1g2t,dio_1qwp"
inner_map_trust_stable_identical_repeat,2,6,6.0,2,"dio_02qu,dio_1vpi"
