source,tick,timestamp_ms,symbol,symbol_family,action,raw_action,outcome_event,best_action_training,mini_temporal_state,mini_neuro_dominant_tone,reflection_context_state,reward,observation_learning_pressure,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe26/dio_mini_lauf_2,60,1768478000000000,dio_039rkak,dio_039r,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.40435,-0.520122,0.0,0.420616,-0.367331,-0.940299,0.297147,0.440029,-0.37838,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe23/dio_mini_lauf_1,6,1768431800000000,dio_05c558f,dio_05c5,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.624746,-0.771451,1.0,0.262123,-0.015638,-0.113314,0.995621,0.372517,-0.391766,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe23/dio_mini_lauf_1,30,1768439000000000,dio_05c558f,dio_05c5,WAIT,WAIT,NO_TRADE,LONG,temporal_far_return,focus_tone,reflection_context_unloaded,0.0,0.626962,-0.78549,1.0,0.259318,-0.010418,-0.097493,0.997083,0.375772,-0.397137,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe23/dio_mini_lauf_1,54,1768446200000000,dio_05c558f,dio_05c5,WAIT,WAIT,NO_TRADE,LONG,temporal_far_return,focus_tone,reflection_context_unloaded,0.0,0.628834,-0.798696,1.0,0.25641,-0.007922,-0.107527,0.997782,0.379805,-0.407237,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe23/dio_mini_lauf_2,6,1768431800000000,dio_05c558f,dio_05c5,WAIT,WAIT,NO_TRADE,LONG,temporal_first_contact,focus_tone,reflection_context_unloaded,0.0,0.624746,-0.771451,1.0,0.262123,-0.015638,-0.113314,0.995621,0.372517,-0.391766,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe23/dio_mini_lauf_2,30,1768439000000000,dio_05c558f,dio_05c5,WAIT,WAIT,NO_TRADE,LONG,temporal_far_return,focus_tone,reflection_context_unloaded,0.0,0.626962,-0.78549,1.0,0.259318,-0.010418,-0.097493,0.997083,0.375772,-0.397137,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe23/dio_mini_lauf_2,54,1768446200000000,dio_05c558f,dio_05c5,WAIT,WAIT,NO_TRADE,LONG,temporal_far_return,focus_tone,reflection_context_unloaded,0.0,0.628834,-0.798696,1.0,0.25641,-0.007922,-0.107527,0.997782,0.379805,-0.407237,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe21/dio_mini_lauf_1,3,1768410900000000,dio_05jhezm,dio_05jh,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.32893,-0.266613,-0.333333,-0.53332,0.267281,0.29589,0.125161,0.309567,-0.218122,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe21/dio_mini_lauf_2,3,1768410900000000,dio_05jhezm,dio_05jh,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.32893,-0.266613,-0.333333,-0.53332,0.267281,0.29589,0.125161,0.309567,-0.218122,True,False,False,False,False,False,False,False
dio_mini_repro_semantic_matrix_6episoden_varianteA_20260606_probe21/dio_mini_lauf_1,46,1768423800000000,dio_05nff0j,dio_05nf,WAIT,WAIT,NO_TRADE,SHORT,temporal_first_contact,observation_tone,reflection_context_unloaded,0.0,0.239651,0.168829,-1.0,0.380732,0.023762,0.016835,-0.206653,0.141805,0.189287,True,False,False,False,False,False,False,False
