source_label,symbol_family,action,family_action,passive_wait_traces,passive_potential_sum,avg_passive_pressure,real_action_traces,tp_count,sl_count,no_trade_count,other_outcome_count,real_reward_sum,event_reward_sum,passive_runs,action_runs,bridge_state,passive_only,avg_sehen_form_flow,avg_sehen_form_stability,avg_sehen_form_change,avg_hoeren_energy_tone,avg_hoeren_energy_shift,avg_fuehlen_mcm_coherence,avg_fuehlen_mcm_tension,avg_fuehlen_mcm_asymmetry
probe15,dio_0u1i,SHORT,dio_0u1i:SHORT,0,0.0,0.0,3,3,0,0,0,3.0,3.0,,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",acted_without_passive_trace,1,0.701583,1.0,0.05182,0.280371,0.13289,0.921496,0.420712,0.431901
probe15,dio_1g18,SHORT,dio_1g18:SHORT,0,0.0,0.0,3,3,0,0,0,3.0,3.0,,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",acted_without_passive_trace,1,0.005433,-1.0,0.460892,-0.12741,0.037406,-0.235675,0.129537,0.121138
probe15,dio_0cgn,LONG,dio_0cgn:LONG,3,3.0,0.078156667,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,0.05444,1.0,0.108879,0.055143,0.206897,0.98456,0.063445,0.097996
probe15,dio_0gmg,LONG,dio_0gmg:LONG,3,3.0,0.068213,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,-0.758808,0.0,0.86012,-0.206849,-0.44086,0.342082,0.543195,-0.306676
probe15,dio_0x52,LONG,dio_0x52:LONG,3,3.0,0.078232333,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,0.146987,1.0,0.076034,0.133722,0.272727,0.962558,0.130063,0.155106
probe15,dio_173s,SHORT,dio_173s:SHORT,3,3.0,0.072119667,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,-0.47548,0.0,0.637839,-0.190469,-0.151163,0.346669,0.381753,-0.14342
probe15,dio_199c,LONG,dio_199c:LONG,3,3.0,0.061368,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,0.560727,1.0,0.190121,0.369894,0.102459,0.89643,0.42128,0.380128
probe15,dio_1guc,LONG,dio_1guc:LONG,3,3.0,0.069338,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,0.348413,1.0,0.254893,0.389153,0.686391,0.891037,0.350561,0.393564
probe15,dio_1mx2,LONG,dio_1mx2:LONG,3,3.0,0.061344667,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,-0.823245,1.0,0.275568,-0.122876,-0.180587,0.965595,0.441462,-0.430998
probe15,dio_1pfo,LONG,dio_1pfo:LONG,3,0.135747,0.059708,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,-0.958963,1.0,0.150823,-0.011519,-0.248869,0.996775,0.431734,-0.550596
probe16,dio_04zi,LONG,dio_04zi:LONG,3,3.0,0.056831333,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,-0.984391,1.0,0.101715,0.180164,-0.057307,0.949554,0.505388,-0.538309
probe16,dio_06bd,SHORT,dio_06bd:SHORT,3,3.0,0.052855333,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,-0.473624,-0.333333,-0.345201,0.373255,0.295567,0.095489,0.410921,-0.288964
probe16,dio_0cgn,SHORT,dio_0cgn:SHORT,3,3.0,0.076825,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,0.05444,1.0,0.108879,0.055143,0.206897,0.98456,0.063445,0.097996
probe16,dio_0fa9,SHORT,dio_0fa9:SHORT,3,3.0,0.050175,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,-0.201426,-1.0,-0.62011,0.360444,0.804878,-0.300924,0.335203,-0.100649
probe16,dio_0ojr,SHORT,dio_0ojr:SHORT,3,3.0,0.055527333,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,-0.724046,0.0,-0.188908,0.350179,0.137457,0.30195,0.4814,-0.423312
probe16,dio_0rb2,SHORT,dio_0rb2:SHORT,3,3.0,0.059431333,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,0.033347,-1.0,-0.259186,-0.051115,0.064516,-0.214312,0.076944,-0.030627
probe16,dio_0vc8,SHORT,dio_0vc8:SHORT,3,1.314432,0.067058,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,-0.483187,0.0,0.648337,-0.183654,-0.206186,0.348577,0.383807,-0.156221
probe16,dio_10kx,SHORT,dio_10kx:SHORT,3,3.0,0.061338667,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_165,dio_mini_lauf_166,dio_mini_lauf_167",,passive_seen_not_yet_acted,1,0.29976,0.0,-0.464234,-0.057187,-0.062112,0.383988,0.224195,0.044027
