family,phases,phase_count,action_transition_class,class_counts,direct_positive_action,observation_to_positive_action,held_observation,burdened_action,rows,executed_rows,observed_rows,raw_trade_rows,reward_sum,executed_reward_sum,observed_best_reward_sum,max_executed_trade_readiness,max_observed_trade_readiness,max_executed_mature_transfer,max_observed_mature_transfer
dio_09jn,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",5,matured_action_pattern,"{""direct_positive_action"": 3, ""held_observation"": 1, ""observation_to_positive_action"": 1}",3,1,1,0,20,15,5,15,4.693512,4.693512,1.56516,0.26989,0.045709,0.075349,0.045709
dio_14mj,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",3,matured_action_pattern,"{""direct_positive_action"": 2, ""observation_to_positive_action"": 1}",2,1,0,0,12,9,3,9,7.185447,7.185447,2.395149,0.540471,0.017937,0.086078,0.017937
dio_0qb3,"sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation",3,matured_action_pattern,"{""direct_positive_action"": 2, ""observation_to_positive_action"": 1}",2,1,0,0,12,9,3,9,5.353388,5.353388,1.729632,0.404105,0.033172,0.065746,0.033172
dio_0a54,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",3,matured_action_pattern,"{""direct_positive_action"": 1, ""held_observation"": 1, ""observation_to_positive_action"": 1}",1,1,1,0,10,6,4,6,3.445308,3.445308,1.933624,0.289064,0.02906,0.064208,0.02906
dio_0nmi,"order_shift,sensor_relation_probe2",2,matured_action_pattern,"{""direct_positive_action"": 1, ""observation_to_positive_action"": 1}",1,1,0,0,5,4,1,4,6.770993,6.770993,2.0,0.558121,0.017049,0.068037,0.017049
dio_1d6j,"order_shift,order_shift_varianz",2,matured_action_pattern,"{""direct_positive_action"": 1, ""observation_to_positive_action"": 1}",1,1,0,0,8,5,3,5,4.768065,4.768065,3.431343,0.403036,0.020788,0.056826,0.020788
dio_14wi,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,matured_action_pattern,"{""direct_positive_action"": 1, ""observation_to_positive_action"": 1}",1,1,0,0,8,5,3,5,4.496005,4.496005,2.697603,0.357308,0.018676,0.074307,0.018676
dio_0x52,"sensor_relation_probe5,sensor_relation_probe5_repeat",2,matured_action_pattern,"{""direct_positive_action"": 1, ""observation_to_positive_action"": 1}",1,1,0,0,8,5,3,5,3.99281,3.99281,2.395686,0.318304,0.017514,0.078828,0.017514
dio_0wv3,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung",2,matured_action_pattern,"{""direct_positive_action"": 1, ""observation_to_positive_action"": 1}",1,1,0,0,8,5,3,5,3.940907,3.940907,2.843085,0.336954,0.020588,0.085948,0.020588
dio_1vm7,"sensor_relation_probe5,sensor_relation_probe5_repeat",2,matured_action_pattern,"{""direct_positive_action"": 1, ""observation_to_positive_action"": 1}",1,1,0,0,5,3,2,3,3.554517,3.554517,2.369678,0.327608,0.010571,0.073099,0.010571
