family,relation_count,support_count,conflict_count,neutral_count,best_support_family,best_support_action,best_support_similarity,best_support_score,best_conflict_family,best_conflict_actions,best_conflict_similarity,best_conflict_score,support_ratio,conflict_ratio
dio_0byw,58,29,26,3,dio_052z,LONG,0.960513,1.18206,dio_0n4c,LONG/SHORT,0.99743,1.31424,0.5,0.448276
dio_052z,58,29,26,3,dio_0byw,LONG,0.960513,1.18206,dio_0n4c,LONG/SHORT,0.942515,1.014524,0.5,0.448276
dio_0n4c,58,25,30,3,dio_1r0h,SHORT,0.958533,1.069861,dio_0byw,SHORT/LONG,0.99743,1.31424,0.431034,0.517241
dio_1r0h,58,25,30,3,dio_0n4c,SHORT,0.958533,1.069861,dio_0byw,SHORT/LONG,0.937246,1.26588,0.431034,0.517241
dio_0lt6,58,25,30,3,dio_0fp8,SHORT,0.970988,1.011128,dio_0byw,SHORT/LONG,0.484334,0.633163,0.431034,0.517241
dio_0fp8,58,25,30,3,dio_0lt6,SHORT,0.970988,1.011128,dio_0irs,SHORT/LONG,0.553608,0.557167,0.431034,0.517241
dio_0v7w,58,25,30,3,dio_0w1v,SHORT,0.999848,1.00388,dio_0wsj,SHORT/LONG,0.531947,0.534239,0.431034,0.517241
dio_0w1v,58,25,30,3,dio_0v7w,SHORT,0.999848,1.00388,dio_01nf,SHORT/LONG,0.52628,0.526655,0.431034,0.517241
dio_0f4h,58,29,26,3,dio_1vb3,LONG,0.995722,1.001633,dio_1144,LONG/SHORT,0.874427,0.880533,0.5,0.448276
dio_1vb3,58,29,26,3,dio_0f4h,LONG,0.995722,1.001633,dio_13wt,LONG/SHORT,0.859999,0.861885,0.5,0.448276
dio_0ifl,58,25,30,3,dio_0i5m,SHORT,0.999974,1.000553,dio_01nf,SHORT/LONG,0.95375,0.953949,0.431034,0.517241
dio_0i5m,58,25,30,3,dio_0ifl,SHORT,0.999974,1.000553,dio_01nf,SHORT/LONG,0.951674,0.952402,0.431034,0.517241
dio_0k53,58,29,26,3,dio_0f4h,LONG,0.992659,0.999916,dio_13wt,LONG/SHORT,0.8705,0.872851,0.5,0.448276
dio_1tg9,58,29,26,3,dio_0k53,LONG,0.993771,0.996669,dio_13wt,LONG/SHORT,0.896197,0.89861,0.5,0.448276
dio_0nmi,58,29,26,3,dio_0f4h,LONG,0.992114,0.993617,dio_1144,LONG/SHORT,0.921446,0.92198,0.5,0.448276
dio_0uct,58,29,26,3,dio_1mml,LONG,0.986924,0.990469,dio_18iw,LONG/SHORT,0.748908,0.750181,0.5,0.448276
dio_1mml,58,29,26,3,dio_0uct,LONG,0.986924,0.990469,dio_18iw,LONG/SHORT,0.712694,0.712864,0.5,0.448276
dio_1uez,58,29,26,3,dio_1vb3,LONG,0.980632,0.987352,dio_13wt,LONG/SHORT,0.816965,0.823329,0.5,0.448276
dio_1v23,58,29,26,3,dio_179o,LONG,0.984272,0.98709,dio_1iuq,LONG/SHORT,0.573892,0.57428,0.5,0.448276
dio_179o,58,29,26,3,dio_1v23,LONG,0.984272,0.98709,dio_1iuq,LONG/SHORT,0.54421,0.547266,0.5,0.448276
dio_01nf,58,29,26,3,dio_0wsj,LONG,0.983024,0.983772,dio_0nv8,LONG/SHORT,0.955814,0.958927,0.5,0.448276
dio_0wsj,58,29,26,3,dio_01nf,LONG,0.983024,0.983772,dio_0vyd,LONG/SHORT,0.938154,0.940264,0.5,0.448276
dio_0qb3,58,29,26,3,dio_18wf,LONG,0.981453,0.98156,dio_0nv8,LONG/SHORT,0.901303,0.901665,0.5,0.448276
dio_18wf,58,29,26,3,dio_0qb3,LONG,0.981453,0.98156,dio_0nv8,LONG/SHORT,0.849173,0.858042,0.5,0.448276
dio_0nv8,58,25,30,3,dio_0vyd,SHORT,0.962667,0.971932,dio_01nf,SHORT/LONG,0.955814,0.958927,0.431034,0.517241
dio_0vyd,58,25,30,3,dio_0nv8,SHORT,0.962667,0.971932,dio_0wsj,SHORT/LONG,0.938154,0.940264,0.431034,0.517241
