kind,count,executed,reward_sum,avg_reward,max_reward
positive_executed_contact,10,10,7.619904,0.76199,1.355456
observed_potential,24,0,0.0,0.0,0.0
held_same_episode_contact,2,0,0.0,0.0,0.0
