run,tick,timestamp_ms,family,action,raw_action,kind,reward,best_action_training,best_reward_training,phase_active,phase_age,episode_relation,episode_binding_pressure,episode_release_pressure,trade_readiness,mature_transfer,relative_positive_reward
52,1,1767330300000000,dio_0n4c,SHORT,SHORT,positive_executed_contact,1.08523,SHORT,1.08523,0,9999,none,0.0,1.0,0.406384,0.075569,0.800638
52,6,1767331800000000,dio_1527,WAIT,WAIT,observed_potential,0.0,LONG,0.45883,0,5,different_contact,0.0,1.0,0.004319,0.004319,0.0
52,7,1767332100000000,dio_17tf,WAIT,WAIT,observed_potential,0.0,LONG,0.745509,0,6,different_contact,0.0,1.0,0.004259,0.004259,0.0
52,8,1767332400000000,dio_0ga4,WAIT,WAIT,observed_potential,0.0,LONG,1.355456,0,7,different_contact,0.0,1.0,0.004401,0.004401,0.0
52,9,1767332700000000,dio_1nlc,WAIT,WAIT,observed_potential,0.0,LONG,1.758234,0,8,none,0.0,1.0,0.004869,0.004869,0.0
52,10,1767333000000000,dio_1xmg,WAIT,WAIT,observed_potential,0.0,LONG,1.737987,0,9,none,0.0,1.0,0.004836,0.004836,0.0
52,11,1767333300000000,dio_1hcy,WAIT,WAIT,observed_potential,0.0,LONG,1.447571,0,10,none,0.0,1.0,0.004515,0.004515,0.0
52,12,1767333600000000,dio_1nnb,WAIT,WAIT,observed_potential,0.0,LONG,0.9379,0,11,none,0.0,1.0,0.004149,0.004149,0.0
52,13,1767333900000000,dio_1hkr,LONG,LONG,positive_executed_contact,0.066334,LONG,0.066334,0,12,none,0.0,1.0,0.152728,0.054999,0.048939
52,18,1767335400000000,dio_1erd,WAIT,WAIT,observed_potential,0.0,SHORT,0.979017,0,5,different_contact,0.0,1.0,0.005041,0.005041,0.0
53,1,1767330300000000,dio_0n4c,SHORT,SHORT,positive_executed_contact,1.08523,SHORT,1.08523,0,9999,none,0.0,1.0,0.58793,0.07221,0.800638
53,6,1767331800000000,dio_1527,WAIT,WAIT,observed_potential,0.0,LONG,0.45883,0,5,different_contact,0.0,1.0,0.008486,0.008486,0.0
53,7,1767332100000000,dio_17tf,WAIT,WAIT,observed_potential,0.0,LONG,0.745509,0,6,different_contact,0.0,1.0,0.011229,0.011229,0.0
53,8,1767332400000000,dio_0ga4,WAIT,WAIT,observed_potential,0.0,LONG,1.355456,0,7,different_contact,0.0,1.0,0.017363,0.017363,0.0
53,9,1767332700000000,dio_1nlc,WAIT,WAIT,observed_potential,0.0,LONG,1.758234,0,8,none,0.0,1.0,0.02177,0.02177,0.0
53,10,1767333000000000,dio_1xmg,WAIT,WAIT,observed_potential,0.0,LONG,1.737987,0,9,none,0.0,1.0,0.021631,0.021631,0.0
53,11,1767333300000000,dio_1hcy,WAIT,WAIT,observed_potential,0.0,LONG,1.447571,0,10,none,0.0,1.0,0.018537,0.018537,0.0
53,12,1767333600000000,dio_1nnb,WAIT,WAIT,observed_potential,0.0,LONG,0.9379,0,11,none,0.0,1.0,0.013219,0.013219,0.0
53,13,1767333900000000,dio_1hkr,LONG,LONG,positive_executed_contact,0.066334,LONG,0.066334,0,12,none,0.0,1.0,0.169446,0.056283,0.048939
53,18,1767335400000000,dio_1erd,WAIT,WAIT,observed_potential,0.0,SHORT,0.979017,0,5,different_contact,0.0,1.0,0.014611,0.014611,0.0
54,1,1767330300000000,dio_0n4c,SHORT,SHORT,positive_executed_contact,1.08523,SHORT,1.08523,0,9999,none,0.0,1.0,0.656708,0.073477,0.800638
54,6,1767331800000000,dio_1527,WAIT,WAIT,observed_potential,0.0,LONG,0.45883,0,5,different_contact,0.0,1.0,0.020789,0.020789,0.0
54,7,1767332100000000,dio_17tf,WAIT,WAIT,observed_potential,0.0,LONG,0.745509,0,6,different_contact,0.0,1.0,0.031166,0.031166,0.0
54,8,1767332400000000,dio_0ga4,LONG,LONG,positive_executed_contact,1.355456,LONG,1.355456,0,7,different_contact,0.0,1.0,0.05351,0.05351,1.0
54,13,1767333900000000,dio_1ieq,WAIT,LONG,held_same_episode_contact,0.0,LONG,0.066334,1,5,same_episode,0.35542,0.282815,0.087746,0.057025,0.0
54,14,1767334200000000,dio_03fl,WAIT,LONG,held_same_episode_contact,0.0,SHORT,0.808851,1,6,same_episode,0.343316,0.272643,0.082293,0.057451,0.0
