run,tick,symbol_family,action,raw_action,best_action_training,binding_state,episode_relation,phase_active,phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,score_wait,score_long,score_short,reward,best_reward_training,unrealized_best_reward,held_impulse_potential
124,1,dio_0c6o,WAIT,WAIT,LONG,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.050291,-0.059981,-0.056602,0.0,1.148164,1.148164,0.0
124,2,dio_1k8m,WAIT,WAIT,LONG,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.050337,-0.060855,-0.057252,0.0,0.657502,0.657502,0.0
124,3,dio_1guc,WAIT,WAIT,LONG,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.051204,-0.058503,-0.062243,0.0,0.029853,0.029853,0.0
124,4,dio_199c,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.051874,-0.062034,-0.061571,0.0,0.522554,0.522554,0.0
124,5,dio_0u1i,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.051186,-0.061792,-0.011162,0.0,1.076433,1.076433,0.0
124,6,dio_0hd3,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.051432,-0.060655,-0.057961,0.0,1.459285,1.459285,0.0
124,7,dio_15ms,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.056814,-0.06599,-0.065876,0.0,0.965478,0.965478,0.0
124,8,dio_0izw,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.061364,-0.072101,-0.069403,0.0,0.402399,0.402399,0.0
124,9,dio_07rf,WAIT,WAIT,LONG,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.057527,-0.07274,-0.070992,0.0,0.030336,0.030336,0.0
124,10,dio_13zu,WAIT,WAIT,WAIT,quiet,none,0,9999,1.0,0.0,1.0,0.052392,-0.070824,-0.069329,0.0,0.0,0.0,0.0
124,11,dio_0avw,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.05231,-0.069931,-0.069315,0.0,0.244014,0.244014,0.0
124,12,dio_0jco,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.057286,-0.067313,-0.072103,0.0,0.733987,0.733987,0.0
124,13,dio_1g18,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.061054,-0.06797,-0.069878,0.0,0.796759,0.796759,0.0
124,14,dio_1wie,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.055837,-0.062739,-0.065552,0.0,0.794658,0.794658,0.0
124,15,dio_05s4,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.057167,-0.069867,-0.067998,0.0,0.194175,0.194175,0.0
124,16,dio_14jl,WAIT,WAIT,LONG,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.064115,-0.077781,-0.075865,0.0,0.360587,0.360587,0.0
124,17,dio_12jm,WAIT,WAIT,LONG,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.058848,-0.073382,-0.074262,0.0,0.56072,0.56072,0.0
124,18,dio_1vp3,WAIT,WAIT,LONG,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.059454,-0.069059,-0.076141,0.0,0.163713,0.163713,0.0
125,1,dio_0c6o,WAIT,WAIT,LONG,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.049847,-0.003944,-0.057807,0.0,1.148164,1.148164,0.0
125,2,dio_1k8m,WAIT,WAIT,LONG,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.050112,-0.028981,-0.058257,0.0,0.657502,0.657502,0.0
125,3,dio_1guc,WAIT,WAIT,LONG,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.051161,-0.056323,-0.062956,0.0,0.029853,0.029853,0.0
125,4,dio_199c,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.051654,-0.06259,-0.036399,0.0,0.522554,0.522554,0.0
125,5,dio_0u1i,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.04993,-0.062202,0.048104,0.0,1.076433,1.076433,0.0
125,6,dio_0hd3,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.050797,-0.061106,0.012501,0.0,1.459285,1.459285,0.0
125,7,dio_15ms,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.056401,-0.06665,-0.018761,0.0,0.965478,0.965478,0.0
125,8,dio_0izw,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.061196,-0.07263,-0.050081,0.0,0.402399,0.402399,0.0
125,9,dio_07rf,WAIT,WAIT,LONG,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.057534,-0.071818,-0.071598,0.0,0.030336,0.030336,0.0
125,10,dio_13zu,WAIT,WAIT,WAIT,quiet,none,0,9999,1.0,0.0,1.0,0.052398,-0.071336,-0.069842,0.0,0.0,0.0,0.0
125,11,dio_0avw,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.052208,-0.070321,-0.057607,0.0,0.244014,0.244014,0.0
125,12,dio_0jco,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.057003,-0.067828,-0.036129,0.0,0.733987,0.733987,0.0
125,13,dio_1g18,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.060716,-0.068293,-0.030719,0.0,0.796759,0.796759,0.0
125,14,dio_1wie,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.055499,-0.063001,-0.026367,0.0,0.794658,0.794658,0.0
125,15,dio_05s4,WAIT,WAIT,SHORT,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.057084,-0.07007,-0.058538,0.0,0.194175,0.194175,0.0
125,16,dio_14jl,WAIT,WAIT,LONG,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.063997,-0.060106,-0.075978,0.0,0.360587,0.360587,0.0
125,17,dio_12jm,WAIT,WAIT,LONG,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.058607,-0.045811,-0.074314,0.0,0.56072,0.56072,0.0
125,18,dio_1vp3,WAIT,WAIT,LONG,observed_not_bound,none,0,9999,1.0,0.0,1.0,0.059384,-0.061061,-0.076127,0.0,0.163713,0.163713,0.0
126,1,dio_0c6o,LONG,LONG,LONG,executed_aligned,none,0,9999,1.0,0.0,1.0,0.048469,0.057351,-0.05763,1.148164,1.148164,0.0,0.0
126,6,dio_0hd3,SHORT,SHORT,SHORT,executed_aligned,different_contact,0,5,0.236379,0.0,1.0,0.050128,-0.061604,0.083846,1.459285,1.459285,0.0,0.0
126,11,dio_0avw,WAIT,WAIT,SHORT,observed_not_bound,different_contact,0,5,0.369591,0.0,1.0,0.052848,-0.069497,-0.039632,0.0,0.244014,0.244014,0.0
126,12,dio_0jco,WAIT,WAIT,SHORT,observed_not_bound,different_contact,0,6,0.558146,0.0,1.0,0.056765,-0.066978,0.015632,0.0,0.733987,0.733987,0.0
126,13,dio_1g18,WAIT,WAIT,SHORT,observed_not_bound,different_contact,0,7,0.686595,0.0,1.0,0.060047,-0.067675,0.022541,0.0,0.796759,0.796759,0.0
