left_family,right_family,transfer_reife_state,transfer_reife,sensory_mcm_similarity,distance,same_action,same_outcome,same_state_class,event_reward_relation,event_reward_alignment,potential_reward_relation,potential_reward_alignment,left_state_class,right_state_class,left_landkarte_state,right_landkarte_state,left_reflection_state,right_reflection_state,left_action,right_action,left_outcome,right_outcome,left_reward_sum,right_reward_sum,left_event_reward_sum,right_event_reward_sum,passive_only,transfer_sentence
dio_1vpi,dio_0hd3,transfer_reife_carried_same_consequence,0.976373519,0.937825049,0.066296962,1,1,1,positive_to_positive,1.0,positive_to_positive,1.0,open,open,-,-,-,-,SHORT,SHORT,TP,TP,3.0,3.0,3.0,3.0,1,dio_1vpi -> dio_0hd3: transfer_reife=0.976374; sinnesnaehe=0.937825; aktion=SHORT->SHORT; konsequenz=TP->TP; event_reward=3.000000->3.000000; potential_reward=3.000000->3.000000.
dio_14xc,dio_0hd3,transfer_reife_open,0.490084421,0.966011634,0.03518422,0,0,1,neutral_to_positive,0.35,neutral_to_positive,0.35,open,open,-,-,-,-,WAIT,SHORT,NO_TRADE,TP,0.0,3.0,0.0,3.0,1,dio_14xc -> dio_0hd3: transfer_reife=0.490084; sinnesnaehe=0.966012; aktion=WAIT->SHORT; konsequenz=NO_TRADE->TP; event_reward=0.000000->3.000000; potential_reward=0.000000->3.000000.
dio_1txv,dio_1rv1,transfer_reife_open,0.486462533,0.95648035,0.045499785,0,0,1,positive_to_neutral,0.35,positive_to_neutral,0.35,open,open,-,-,-,-,SHORT,WAIT,TP,NO_TRADE,3.0,0.0,3.0,0.0,1,dio_1txv -> dio_1rv1: transfer_reife=0.486463; sinnesnaehe=0.956480; aktion=SHORT->WAIT; konsequenz=TP->NO_TRADE; event_reward=3.000000->0.000000; potential_reward=3.000000->0.000000.
dio_0arw,dio_173s,transfer_reife_open,0.468628274,0.909548089,0.099447091,0,0,1,positive_to_neutral,0.35,positive_to_neutral,0.35,open,open,-,-,-,-,LONG,WAIT,TP,NO_TRADE,3.0,0.0,3.0,0.0,1,dio_0arw -> dio_173s: transfer_reife=0.468628; sinnesnaehe=0.909548; aktion=LONG->WAIT; konsequenz=TP->NO_TRADE; event_reward=3.000000->0.000000; potential_reward=3.000000->0.000000.
dio_02qu,dio_173s,transfer_reife_open,0.400885057,0.731276465,0.367471876,0,0,1,positive_to_neutral,0.35,positive_to_neutral,0.35,open,open,-,-,-,-,LONG,WAIT,TP,NO_TRADE,3.0,0.0,3.0,0.0,1,dio_02qu -> dio_173s: transfer_reife=0.400885; sinnesnaehe=0.731276; aktion=LONG->WAIT; konsequenz=TP->NO_TRADE; event_reward=3.000000->0.000000; potential_reward=3.000000->0.000000.
