transfer_reife_state,family_count,avg_transfer_reife,avg_similarity,same_action_count,same_outcome_count,families
transfer_reife_carried_same_consequence,1,0.976373519,0.937825049,1,1,dio_1vpi->dio_0hd3
transfer_reife_open,4,0.461515071,0.890829135,0,0,"dio_02qu->dio_173s,dio_0arw->dio_173s,dio_14xc->dio_0hd3,dio_1txv->dio_1rv1"
