left_family,right_family,transfer_reife_state,transfer_reife,sensory_mcm_similarity,distance,same_action,same_outcome,same_state_class,event_reward_relation,event_reward_alignment,potential_reward_relation,potential_reward_alignment,left_state_class,right_state_class,left_landkarte_state,right_landkarte_state,left_reflection_state,right_reflection_state,left_action,right_action,left_outcome,right_outcome,left_reward_sum,right_reward_sum,left_event_reward_sum,right_event_reward_sum,passive_only,transfer_sentence
dio_1txv,dio_0cgn,transfer_reife_family_carried_observation_dominant,0.987049799,0.965920524,0.035281864,1,1,1,positive_to_positive,1.0,positive_to_positive,1.0,variant,variant,inner_map_shift_or_variant,inner_map_shift_or_variant,reflection_confirmation_seed,reflection_confirmation_seed,WAIT,WAIT,NO_TRADE,NO_TRADE,1.0,1.0,1.0,1.0,1,dio_1txv -> dio_0cgn: transfer_reife=0.987050; sinnesnaehe=0.965921; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=1.000000->1.000000; potential_reward=1.000000->1.000000.
dio_1vpi,dio_0hd3,transfer_reife_carried_same_consequence,0.797916999,0.941886839,0.061698665,1,1,0,positive_to_positive,0.333333333,positive_to_positive,0.333333333,trust,single,inner_map_trust_stable_identical_repeat,inner_map_single_observation,reflection_trust_seed,reflection_trust_seed,SHORT,SHORT,TP,TP,3.0,1.0,3.0,1.0,1,dio_1vpi -> dio_0hd3: transfer_reife=0.797917; sinnesnaehe=0.941887; aktion=SHORT->SHORT; konsequenz=TP->TP; event_reward=3.000000->1.000000; potential_reward=3.000000->1.000000.
dio_1g2t,dio_07rf,transfer_reife_quiet_same_consequence,0.787664749,0.835959867,0.196229675,1,1,0,neutral_to_neutral,0.5,neutral_to_neutral,0.5,single,quiet,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_quiet_observation,reflection_quiet_observation,WAIT,WAIT,NO_TRADE,NO_TRADE,0.0,0.0,0.0,0.0,1,dio_1g2t -> dio_07rf: transfer_reife=0.787665; sinnesnaehe=0.835960; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=0.000000->0.000000; potential_reward=0.000000->0.000000.
dio_0x1o,dio_1g18,transfer_reife_consequence_same_action_changed,0.624360792,0.95884419,0.042922313,0,1,0,positive_to_positive,0.333333333,positive_to_positive,0.333333333,single,trust,inner_map_single_observation,inner_map_trust_stable_identical_repeat,reflection_trust_seed,reflection_trust_seed,LONG,SHORT,TP,TP,1.0,3.0,1.0,3.0,1,dio_0x1o -> dio_1g18: transfer_reife=0.624361; sinnesnaehe=0.958844; aktion=LONG->SHORT; konsequenz=TP->TP; event_reward=1.000000->3.000000; potential_reward=1.000000->3.000000.
dio_16yc,dio_0izw,transfer_reife_consequence_same_action_changed,0.577962802,0.82884948,0.206491679,0,1,0,positive_to_neutral,0.35,positive_to_neutral,0.35,variant,quiet,inner_map_shift_or_variant,inner_map_quiet_stable_identical_repeat,reflection_confirmation_seed,reflection_quiet_observation,SHORT,WAIT,NO_TRADE,NO_TRADE,1.0,0.0,1.0,0.0,1,dio_16yc -> dio_0izw: transfer_reife=0.577963; sinnesnaehe=0.828849; aktion=SHORT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=1.000000->0.000000; potential_reward=1.000000->0.000000.
dio_143d,dio_0hd3,transfer_reife_open,0.486158182,0.955679426,0.046375985,0,0,1,neutral_to_positive,0.35,neutral_to_positive,0.35,single,single,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_trust_seed,WAIT,SHORT,NO_TRADE,TP,0.0,1.0,0.0,1.0,1,dio_143d -> dio_0hd3: transfer_reife=0.486158; sinnesnaehe=0.955679; aktion=WAIT->SHORT; konsequenz=NO_TRADE->TP; event_reward=0.000000->1.000000; potential_reward=0.000000->1.000000.
dio_14xc,dio_0hd3,transfer_reife_open,0.486158182,0.955679426,0.046375985,0,0,1,neutral_to_positive,0.35,neutral_to_positive,0.35,single,single,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_trust_seed,WAIT,SHORT,NO_TRADE,TP,0.0,1.0,0.0,1.0,1,dio_14xc -> dio_0hd3: transfer_reife=0.486158; sinnesnaehe=0.955679; aktion=WAIT->SHORT; konsequenz=NO_TRADE->TP; event_reward=0.000000->1.000000; potential_reward=0.000000->1.000000.
dio_1qwp,dio_0hd3,transfer_reife_open,0.462880322,0.8944219,0.118040602,0,0,1,neutral_to_positive,0.35,neutral_to_positive,0.35,single,single,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_trust_seed,WAIT,SHORT,NO_TRADE,TP,0.0,1.0,0.0,1.0,1,dio_1qwp -> dio_0hd3: transfer_reife=0.462880; sinnesnaehe=0.894422; aktion=WAIT->SHORT; konsequenz=NO_TRADE->TP; event_reward=0.000000->1.000000; potential_reward=0.000000->1.000000.
dio_0igh,dio_0hd3,transfer_reife_open,0.462761223,0.894108482,0.118432516,0,0,1,neutral_to_positive,0.35,neutral_to_positive,0.35,single,single,inner_map_single_observation,inner_map_single_observation,reflection_quiet_observation,reflection_trust_seed,WAIT,SHORT,NO_TRADE,TP,0.0,1.0,0.0,1.0,1,dio_0igh -> dio_0hd3: transfer_reife=0.462761; sinnesnaehe=0.894108; aktion=WAIT->SHORT; konsequenz=NO_TRADE->TP; event_reward=0.000000->1.000000; potential_reward=0.000000->1.000000.
dio_0arw,dio_173s,transfer_reife_open,0.410850787,0.915396808,0.092422424,0,0,0,positive_to_neutral,0.35,positive_to_neutral,0.35,single,quiet,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_trust_seed,reflection_quiet_observation,LONG,WAIT,TP,NO_TRADE,1.0,0.0,1.0,0.0,1,dio_0arw -> dio_173s: transfer_reife=0.410851; sinnesnaehe=0.915397; aktion=LONG->WAIT; konsequenz=TP->NO_TRADE; event_reward=1.000000->0.000000; potential_reward=1.000000->0.000000.
dio_0fiy,dio_07rf,transfer_reife_open,0.396484274,0.877590195,0.139484016,0,0,0,negative_to_neutral,0.35,negative_to_neutral,0.35,single,quiet,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_negative_open,reflection_quiet_observation,LONG,WAIT,SL,NO_TRADE,-1.0,0.0,-1.0,0.0,1,dio_0fiy -> dio_07rf: transfer_reife=0.396484; sinnesnaehe=0.877590; aktion=LONG->WAIT; konsequenz=SL->NO_TRADE; event_reward=-1.000000->0.000000; potential_reward=-1.000000->0.000000.
