transfer_reife_state,family_count,avg_transfer_reife,avg_similarity,same_action_count,same_outcome_count,families
transfer_reife_family_carried_observation_dominant,1,0.987049799,0.965920524,1,1,dio_1txv->dio_0cgn
transfer_reife_carried_same_consequence,1,0.797916999,0.941886839,1,1,dio_1vpi->dio_0hd3
transfer_reife_quiet_same_consequence,1,0.787664749,0.835959867,1,1,dio_1g2t->dio_07rf
transfer_reife_consequence_same_action_changed,2,0.601161797,0.893846835,0,2,"dio_0x1o->dio_1g18,dio_16yc->dio_0izw"
transfer_reife_open,6,0.450882162,0.915479373,0,0,"dio_0arw->dio_173s,dio_0fiy->dio_07rf,dio_0igh->dio_0hd3,dio_143d->dio_0hd3,dio_14xc->dio_0hd3,dio_1qwp->dio_0hd3"
transfer_reife_form_near_trust_not_carried,1,0.343102988,0.737113127,0,0,dio_02qu->dio_173s
