inner_state,contact_state,count,reward_sum,event_reward_sum,avg_reward,families,actions,outcome_events
inner_consequence_conflicted,real_contact_burdened,6,-6.0,-6.0,-1.0,"dio_0c6o,dio_1k0r",LONG,SL
inner_consequence_quiet,observed_without_action,24,0.0,0.0,0.0,"dio_0rb2,dio_0vc8,dio_1g7l,dio_1jo7,dio_1q9b,dio_1qig,dio_1t73,dio_1w4m",WAIT,NO_TRADE
