symbol_family,count,best_reward_sum,best_reward_avg,best_reward_max,dominant_best_action,long_count,short_count,executed_aligned_count,executed_aligned_reward,observation_to_execution_state,runs,ticks
dio_1s50,2,2.482894,1.241447,1.241447,LONG,2,0,2,2.482894,observation_later_confirmed,"133,134","1,1"
dio_0b66,2,2.253592,1.126796,1.126796,SHORT,0,2,0,0.0,observed_only,"133,134","5,5"
dio_173s,3,2.231709,0.743903,0.743903,SHORT,0,3,0,0.0,observed_only,"133,134,135","12,12,12"
dio_0qze,2,1.449518,0.724759,0.724759,LONG,2,0,0,0.0,observed_only,"133,134","2,2"
dio_1t1w,2,1.11208,0.55604,0.55604,SHORT,0,2,0,0.0,observed_only,"133,134","4,4"
dio_0989,4,0.847948,0.211987,0.211987,SHORT,0,4,0,0.0,observed_only,"133,134,135,136","11,11,11,11"
dio_0gmg,4,0.756032,0.189008,0.189008,LONG,4,0,0,0.0,observed_only,"133,134,135,136","18,18,18,18"
dio_1guc,2,0.04395,0.021975,0.021975,LONG,2,0,0,0.0,observed_only,"133,134","3,3"
