metric,value,passive_only,controlled_dataset_scope,long_run_claim,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
closed_clique_not_open_zero_form,10,True,True,False,False,False,False,False,False,False,False
open_zero_form_bridge_center,1,True,True,False,False,False,False,False,False,False,False
single_trace_no_zero_topology,283,True,True,False,False,False,False,False,False,False,False
island_count,294,True,True,False,False,False,False,False,False,False,False
zero_topology_candidate_count,1,True,True,False,False,False,False,False,False,False,False
