metric,value,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
matrix_node_count,253,True,False,False,False,False,False,False,False
matrix_edge_count,120,True,False,False,False,False,False,False,False
matrix_island_count,161,True,False,False,False,False,False,False,False
density_reproduction,0.409409,True,False,False,False,False,False,False,False
max_semantic_density,0.778893,True,False,False,False,False,False,False,False
max_variant_attraction,0.999976,True,False,False,False,False,False,False,False
max_semantic_vorticity,0.671264,True,False,False,False,False,False,False,False
