source_label,passive_family_action,action,candidate_count,best_similarity,best_sensory_similarity,best_mcm_similarity,best_real_family_action,best_real_reward_sum,best_real_tp_count,best_real_sl_count,carried_candidate_count,burdened_candidate_count,mixed_candidate_count,best_reading,passive_maturity_state,passive_only
probe15,dio_0izw:SHORT,SHORT,2,0.884336312,0.8483932,0.9442415,dio_1g18:SHORT,3.0,3,0,1,1,0,passive_near_carried_outcome,passive_observation_has_mixed_neighbors,1
probe15,dio_173s:SHORT,SHORT,2,0.811962125,0.8090512,0.816813667,dio_1g18:SHORT,3.0,3,0,1,1,0,passive_near_carried_outcome,passive_observation_has_mixed_neighbors,1
probe15,dio_15ms:SHORT,SHORT,2,0.787475125,0.7500562,0.84984,dio_0x52:SHORT,-3.0,0,3,1,1,0,passive_near_burdened_outcome,passive_observation_has_mixed_neighbors,1
probe16,dio_1w4m:LONG,LONG,1,0.886422438,0.8703614,0.913190833,dio_1k0r:LONG,-3.0,0,3,0,1,0,passive_near_burdened_outcome,passive_observation_has_burdened_neighbor,1
probe16,dio_1qig:LONG,LONG,1,0.762543437,0.7684963,0.752622,dio_1k0r:LONG,-3.0,0,3,0,1,0,passive_near_burdened_outcome,passive_observation_has_burdened_neighbor,1
probe16,dio_04zi:LONG,LONG,1,0.737970375,0.7422488,0.730839667,dio_1k0r:LONG,-3.0,0,3,0,1,0,passive_near_burdened_outcome,passive_observation_has_burdened_neighbor,1
probe18,dio_14xc:LONG,LONG,2,0.80021625,0.7742395,0.843510833,dio_02qu:LONG,3.0,3,0,2,0,0,passive_near_carried_outcome,passive_observation_has_carried_neighbor,1
