family,probe_count,seen_count,executed_count,reward_sum,probe_states,timeline_states,strongest_action_traces,passive_sentence
dio_0t0v,5,3,5,2.909977,probe17_first:not_seen -> probe17_repeat:not_seen -> probe18_first:seen_conflict -> probe18_repeat1:seen_unclear -> probe18_repeat2:seen_carried,-,LONG,dio_0t0v: wird in manchen Welten getragen und in anderen konflikthaft.
dio_1vpi,5,3,5,-1.712415,probe17_first:not_seen -> probe17_repeat:not_seen -> probe18_first:seen_conflict -> probe18_repeat1:seen_conflict -> probe18_repeat2:seen_unclear,-,SHORT,dio_1vpi: zeigt mindestens eine konflikthafte Weltbegegnung.
dio_0arw,5,3,9,12.463686,probe17_first:not_seen -> probe17_repeat:not_seen -> probe18_first:seen_carried -> probe18_repeat1:seen_carried -> probe18_repeat2:seen_carried,-,LONG,dio_0arw: wird ueber mehrere Welten getragen gelesen.
dio_1u7v,5,3,9,8.049528,probe17_first:not_seen -> probe17_repeat:not_seen -> probe18_first:seen_carried -> probe18_repeat1:seen_carried -> probe18_repeat2:seen_carried,-,SHORT,dio_1u7v: wird ueber mehrere Welten getragen gelesen.
dio_0ofo,5,2,5,7.265,probe17_first:seen_carried -> probe17_repeat:seen_carried -> probe18_first:not_seen -> probe18_repeat1:not_seen -> probe18_repeat2:not_seen,-,LONG,dio_0ofo: wird ueber mehrere Welten getragen gelesen.
dio_04z7,5,2,5,5.4338,probe17_first:seen_carried -> probe17_repeat:seen_carried -> probe18_first:not_seen -> probe18_repeat1:not_seen -> probe18_repeat2:not_seen,-,LONG,dio_04z7: wird ueber mehrere Welten getragen gelesen.
dio_1bwb,5,2,5,4.559405,probe17_first:seen_carried -> probe17_repeat:seen_carried -> probe18_first:not_seen -> probe18_repeat1:not_seen -> probe18_repeat2:not_seen,-,SHORT,dio_1bwb: wird ueber mehrere Welten getragen gelesen.
dio_0akd,5,2,2,1.551314,probe17_first:seen_unclear -> probe17_repeat:not_seen -> probe18_first:not_seen -> probe18_repeat1:seen_carried -> probe18_repeat2:not_seen,-,LONG,"dio_0akd: bleibt gemischt/offen, reward_sum=1.551314."
dio_0n9e,5,1,1,1.389869,probe17_first:seen_carried -> probe17_repeat:not_seen -> probe18_first:not_seen -> probe18_repeat1:not_seen -> probe18_repeat2:not_seen,-,LONG,"dio_0n9e: bleibt gemischt/offen, reward_sum=1.389869."
dio_0ems,5,1,1,1.304587,probe17_first:not_seen -> probe17_repeat:not_seen -> probe18_first:seen_carried -> probe18_repeat1:not_seen -> probe18_repeat2:not_seen,-,LONG,"dio_0ems: bleibt gemischt/offen, reward_sum=1.304587."
