family,count,actions,reward_sum,avg_reward,avg_entry_improvement_room,max_entry_improvement_room
dio_0odx,4,SHORT:4,1.041868,0.260467,0.003736,0.003736
dio_1lam,4,LONG:4,5.19776,1.29944,0.001799,0.001799
dio_0t45,4,SHORT:4,7.235596,1.808899,0.00158,0.00158
