run,tick,timestamp_ms,family,action,entry_price,better_entry_training,entry_improvement_room,reward,trade_readiness,mature_transfer,phase_age,episode_relation
32,1,1767280300000000,dio_1lam,LONG,100.04,99.86,0.001799,1.29944,0.889684,0.082474,9999,none
32,6,1767281800000000,dio_0odx,SHORT,101.72,102.1,0.003736,0.260467,0.138053,0.05999,5,different_contact
32,11,1767283300000000,dio_0t45,SHORT,101.28,101.44,0.00158,1.808899,0.525025,0.074535,5,new_contact
33,1,1767280300000000,dio_1lam,LONG,100.04,99.86,0.001799,1.29944,0.913565,0.084225,9999,none
33,6,1767281800000000,dio_0odx,SHORT,101.72,102.1,0.003736,0.260467,0.155656,0.062474,5,different_contact
33,11,1767283300000000,dio_0t45,SHORT,101.28,101.44,0.00158,1.808899,0.71352,0.082432,5,new_contact
34,1,1767280300000000,dio_1lam,LONG,100.04,99.86,0.001799,1.29944,0.934104,0.085739,9999,none
34,6,1767281800000000,dio_0odx,SHORT,101.72,102.1,0.003736,0.260467,0.17036,0.064114,5,different_contact
34,11,1767283300000000,dio_0t45,SHORT,101.28,101.44,0.00158,1.808899,0.870885,0.087142,5,new_contact
35,1,1767280300000000,dio_1lam,LONG,100.04,99.86,0.001799,1.29944,0.936863,0.085953,9999,none
35,6,1767281800000000,dio_0odx,SHORT,101.72,102.1,0.003736,0.260467,0.182679,0.065524,5,different_contact
35,11,1767283300000000,dio_0t45,SHORT,101.28,101.44,0.00158,1.808899,0.926909,0.091193,5,new_contact
