inner_state,count,event_reward_sum,memory_reward_sum,families,actions
inner_consequence_carried,5,10.0,43.793641,"dio_02qu,dio_0arw,dio_0t0v,dio_1u7v,dio_1vpi","LONG,SHORT"
inner_consequence_quiet,3,0.0,0.0,"dio_00qb,dio_14xc,dio_1vpi",WAIT
