family,runs,run_count,symbol_count,rows,symbols_per_row,executed_long,executed_short,executed_wait,raw_long,raw_short,best_long,best_short,reward_sum,avg_reward,observation_learning_events,avg_observation_pressure
dio_121e,"36,37,38,39",4,1,4,0.25,0,2,2,0,2,0,4,3.042412,0.760603,2,0.072274
dio_1d6j,"36,37,38,39",4,1,4,0.25,1,0,3,1,0,4,0,1.143781,0.285945,3,0.042875
dio_08wa,"36,37,38,39",4,1,4,0.25,0,0,4,0,0,4,0,0.0,0.0,4,0.047089
dio_1wwt,"36,37,38,39",4,1,4,0.25,0,0,4,0,0,4,0,0.0,0.0,4,0.039893
dio_1h5i,"36,37,38",3,1,3,0.333333,1,0,2,1,0,3,0,1.652416,0.550805,2,0.052293
dio_0knp,"36,38,39",3,1,3,0.333333,0,0,3,0,0,3,0,0.0,0.0,3,0.072017
dio_0nmi,"36,37",2,1,2,0.5,1,0,1,1,0,2,0,2.0,1.0,1,0.048586
dio_00eh,"37,39",2,1,2,0.5,0,1,1,0,1,2,0,-0.431148,-0.215574,1,0.056967
dio_01yf,"36,37",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.066027
dio_1i0f,"36,37",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.06839
dio_0nvr,"36,37",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.061808
dio_0d07,"36,37",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.052472
dio_185j,"38,39",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.05304
dio_0f4h,36,1,1,1,1.0,1,0,0,1,0,1,0,2.0,2.0,0,0.0
dio_018g,38,1,1,1,1.0,0,0,1,0,0,1,0,0.0,0.0,1,0.062007
dio_1j0n,39,1,1,1,1.0,0,0,1,0,0,1,0,0.0,0.0,1,0.055831
